player,Putting from 5-10'-%,Putting Average-AVG,3-Putts per Round-AVG,SG: Putting-AVERAGE,Average Putting Distance - GIR 1 Putts-AVG,Overall Putting Average-AVG,Birdie or Better Conversion Percentage-%,Average Distance of Birdie putts made-AVG,3-Putt Avoidance-%,2-Putts per Round-AVG,One-Putt Percentage-%,Going for the Green - Hit Green Pct-%,Going for the Green - Birdie or Better-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Fairway-%,Fairway Proximity-AVG,SG: Approach the Green-AVERAGE,GIR Percentage - 100+ yards-%,Average Approach Shot Distance-AVG,Going for the Green-%,GIR Pct - Fairway Bunker-%,Greens in Regulation Percentage-%,Greens in Regulation Percentage-RELATIVE/PAR,GIR Percentage from Fairway-%,Greens or Fringe in Regulation-%,Par Breakers-%,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,Bogey Average-AVERAGE BOGEYS PER ROUND,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Scoring Average (Actual)-AVG,Par 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Birdie Average-AVG,Bounce Back-%,Fairway Bunker Tendency-%,Right Tendency-%,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,Left Rough Tendency-%,Hit Fairway Percentage-%,Hit Fairway Percentage-RELATIVE TO PAR,Driving Distance - All Drives-ALL DRIVES,Right Rough Tendency-%,Ball Striking-VALUE,Ball Striking-TOTAL DRV RANK,Ball Striking-GIR RANK,Left Tendency-%,Rough Tendency-%,Total Driving-ACCURACY RANK,Distance from Center of Fairway-AVG,SG: Around-the-Green-AVERAGE,Sand Save Percentage-%,Sand Saves from 20-30 yards-%,Scrambling from < 10 yards-%,Scrambling from the Rough-%,Scrambling from > 30 yards-%,Scrambling from the Fringe-%,Scrambling 10-20 yds (RTP Score)-AVG RTP,Sand Saves from 10-20 yards-%,Scrambling from 10-20 yards-%,Scrambling Rough (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from 20-30 yards-%,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR
Scott Brown,55.15,1.783,0.56,0.029,"11' 0""",1.613,27.84,"10' 4""",3.13,10.17,39,15.87,60.32,14,20.22,"36' 0""",-0.53,57.23,167.7,53.85,52.2,63.43,-0.24,73.52,67.65,18.52,-0.19,-6.468,-7.467,0.999,2.77,71.24,70.44,18.52,1.08,71.29,3.06,70.56,3.27,17.86,4.8,49,-0.22,0.269,-0.53,0.042,0.269,11.79,68.63,-0.11,280,12.63,262,67,195,51,24.42,21,"23' 6""",0.042,45.78,34.62,93.18,61.54,26.92,82.35,0.333,59.09,67.82,0.462,61.82,48.53,91,48,48.44,0.088,3,60.44,191,316
Zac Blair,62.77,1.761,0.54,0.334,"12' 1""",1.574,31.24,"11' 2""",3.21,9.4,43.06,24.39,60.98,11.69,20.55,"33' 7""",-0.47,56.34,158.3,32.8,47.1,63.03,-0.27,73.67,66.2,20.73,-0.315,-11.331,-23.349,12.019,2.5,70.88,71.5,20.73,1.3,70.83,3.06,70.31,3.71,18.44,6.8,59.7,-0.649,-0.337,-0.47,0.158,-0.337,12,61.6,-0.13,275.8,17.8,418,213,205,40.3,29.8,98,"23' 10""",0.158,57.43,40,89.58,61.19,29.41,96.3,0.298,68.18,72.12,0.44,64.36,47.83,41,52,57.83,-0.074,-2,63.87,221,346
Corey Conners,54.2,1.801,0.64,-0.573,"10' 2""",1.688,28.91,"9' 1""",3.66,11.2,33.21,24.69,48.15,20.31,23.67,"34' 2""",0.601,69.98,166.6,64.8,45.8,74.37,-0.25,84.43,80.21,22.22,0.286,9.148,27.479,-18.33,2.5,70.5,70.44,22.22,1.44,70.16,3.03,71.15,3.89,26.27,5.3,59.6,0.859,0.582,0.601,-0.325,0.582,10.2,67.85,-0.19,292.6,15.08,13,10,3,40.4,25.28,33,"25' 2""",-0.325,41.79,50,83.87,50,29.17,87.5,0.516,39.29,54.84,0.521,50,37.93,206,44,41.67,E,E,53.69,109,203
Brendan Steele,52.03,1.77,0.63,-0.022,"10' 11""",1.631,30.94,"10' 2""",3.47,10.28,38.47,33.33,51.85,14.75,23.8,"28' 6""",0.312,66.95,159.3,53.47,53.7,69.58,-0.28,81.21,73.09,21.94,0.443,14.163,14.863,-0.697,2.35,70.3,69.14,21.94,1.46,70.05,3.04,70,3.88,21.21,9.2,54.7,0.464,0.192,0.312,-0.04,0.192,11.94,60.81,-0.21,290.2,16.67,72,30,42,45.3,28.6,102,"23' 3""",-0.04,54.72,55.56,92.5,49.38,22.58,100,0.395,56,65.43,0.556,65,54.17,127,40,54.17,-0.1,-1,58.45,128,219
Andrew Putnam,64.38,1.767,0.47,0.917,"11' 2""",1.601,29.02,"10' 0""",2.6,10.03,40.8,16.22,48.65,7.69,22.51,"35' 8""",-0.088,61.11,174.7,60.66,71.4,67.01,-0.26,75.66,69.44,19.79,-0.115,-2.061,-18.563,16.504,2.34,70.33,70.33,19.79,1.37,70.34,3.02,71,3.47,21.33,5.6,57.4,-1.031,-0.841,-0.088,-0.103,-0.841,13.25,59.84,-0.16,275.3,18.88,323,214,109,42.6,32.13,124,"29' 5""",-0.103,53.57,44.44,83.33,66.67,43.48,92.31,0.304,50,69.57,0.364,78.26,76,38,32,45.16,0.077,1,64.21,122,190
Sepp Straka,54.96,1.811,0.55,0.036,"11' 6""",1.64,26.61,"10' 2""",3.06,10.65,36.53,26.98,57.14,14.04,20.05,"32' 0""",0.048,64.98,163.6,58.33,65.4,66.94,-0.23,77.68,76.04,19.03,0.283,9.043,7.89,1.154,2.28,71.21,72.5,19.03,1.22,71.08,3.04,71.81,3.38,19.23,5.8,49.1,0.247,0.343,0.048,-0.144,0.343,14.09,61.74,-0.18,289.3,14.09,165,53,112,50.9,28.19,105,"22' 9""",-0.144,50.82,53.33,89.13,63.89,26.92,91.18,0.449,50,59.42,0.375,51.19,66.67,76,40,57.78,0.029,1,61.34,146,238
J.J. Spaun,50.38,1.78,0.52,-0.03,"10' 6""",1.643,29.72,"9' 4""",3.04,10.67,36.51,20.59,50,16.88,21.99,"30' 1""",-0.292,61.5,165.8,56.2,48.1,66.01,-0.26,77.78,70.31,20.37,-0.812,-25.973,-25.022,-0.949,3,71.46,73.22,20.37,1.06,71.57,3.08,71.23,3.62,16.79,6.1,56.6,-0.782,-0.002,-0.292,-0.488,-0.002,13.06,58.11,-0.14,289.9,18.92,307,168,139,43.4,31.98,167,"26' 3""",-0.488,49.21,38.46,84.44,48.08,38.24,72,0.55,54.05,48.75,0.558,52.56,46.15,220,42,46.81,0.28,7,50.97,131,257
Henrik Norlander,56.91,1.76,0.44,-0.224,"9' 9""",1.639,29.97,"9' 3""",2.43,10.79,36.69,21.15,57.69,26,19.07,"32' 0""",-0.021,63.78,163.4,52,70.8,68.98,-0.29,80,72.78,21.3,-0.388,-11.629,-4.92,-6.709,2.73,71.03,69.13,21.3,1.27,70.58,3.13,71.75,3.67,18.57,5.7,48.2,-0.164,0.126,-0.021,-0.269,0.126,12.62,65.95,-0.1,279.1,13.57,103,48,55,51.8,26.19,25,"23' 6""",-0.269,43.37,44.44,75,50,30,90,0.553,38.71,50,0.509,51.9,41.86,214,48,46.03,0.1,2,52.61,141,268
Tyler McCumber,45.22,1.802,0.73,-0.611,"11' 2""",1.633,30.04,"9' 6""",4.07,10.27,37.04,28.99,50.72,15.29,23.94,"31' 4""",0.198,65.48,160.8,63.64,69.6,67.41,-0.26,76.32,75.37,21.98,-0.185,-5.558,12.764,-18.321,2.71,70.34,69.56,21.98,1.3,70.64,3.07,70,3.89,19.53,5.6,58.3,0.425,0.368,0.198,-0.14,0.368,14.39,54.88,-0.2,298.1,21.71,184,84,100,41.7,36.1,193,"24' 10""",-0.14,37.31,35.71,90.32,55.65,21.88,91.3,0.364,33.33,62.34,0.484,61.64,29.63,154,45,36.36,0.043,1,57.2,151,264
Hideki Matsuyama,48.72,1.749,0.62,-0.535,"10' 0""",1.612,33.09,"8' 11""",3.44,10.1,38.76,33.33,60.26,23.44,24.72,"29' 8""",0.887,66.58,170.3,67.24,57.6,71.56,-0.32,83.48,77.59,25,1.285,37.278,52.806,-15.526,2.19,69.64,69.1,25,1.87,69.17,3.05,69.09,4.31,29.47,8.2,62.7,1.821,0.385,0.887,0.549,0.385,10.92,59.55,-0.24,297.3,17.87,53,43,10,37.3,28.78,125,"27' 5""",0.549,52.17,58.82,81.58,63.64,31.58,66.67,0.418,43.33,58.21,0.364,65,62.07,71,42,48.84,0.067,1,61.4,132,215
Max Homa,53.91,1.763,0.43,0.406,"10' 2""",1.609,31.61,"8' 11""",2.4,10.27,39.52,28.75,55,10.53,22.89,"34' 0""",0.173,60.38,166.5,62.99,48.5,66.04,-0.31,77.72,71.68,21.59,0.493,15.274,2.703,12.575,2.57,70.62,68.6,21.59,1.37,70.68,3.04,70.33,3.77,22.12,7.6,54.2,0.087,0.329,0.173,-0.415,0.329,12.39,63.07,-0.18,290.1,13.99,204,66,138,45.8,26.38,87,"26' 0""",-0.415,56.25,65,91.43,53.52,29.41,92.86,0.39,52,62.2,0.521,60.67,50,145,44,57.5,E,E,57.62,155,269
Talor Gooch,60.89,1.752,0.33,0.377,"10' 11""",1.605,30.75,"9' 9""",1.85,10.43,39.09,25.74,61.39,16.3,23.89,"31' 8""",0.132,63.93,170,64.52,56,67.7,-0.29,78.94,72.71,21.6,0.597,27.452,10.132,17.325,2.35,69.69,69.85,21.6,1.46,70.07,3.04,70.79,3.8,22.3,7.8,48.9,0.22,-0.051,0.132,0.14,-0.051,15.63,56.88,-0.22,284.6,16.09,249,157,92,51.1,31.72,161,"25' 11""",0.14,53,59.09,87.76,53.27,23.4,94.12,0.396,57.14,63.21,0.495,63.16,53.45,122,54,52,-0.059,-1,58.6,184,314
Zach Johnson,62.86,1.766,0.38,0.318,"10' 9""",1.602,28.31,"10' 0""",2.1,10.3,39.49,24.44,62.22,6.12,21.59,"32' 7""",0.127,63.58,164.8,48.91,29.6,66.82,-0.26,78.33,70.56,19.67,0.198,5.951,-3.595,9.548,1.97,69.7,70.88,19.67,1.47,70.22,3.03,70.64,3.54,17.07,6.5,48.3,-0.12,-0.086,0.127,-0.161,-0.086,15.79,63.4,-0.18,278.4,13.16,316,199,117,51.7,28.95,94,"22' 2""",-0.161,57.89,64.29,78.13,60.29,40.63,93.33,0.387,59.26,70.67,0.485,63.33,62.79,36,37,62.5,-0.067,-1,64.25,142,221
Ben Martin,56.25,1.75,0.39,0.086,"8' 8""",1.591,30.12,"8' 0""",2.18,10.11,40.28,30.43,52.17,11.54,20.81,"31' 7""",0.022,57.5,161.2,47.92,33.3,65.87,-0.29,74.8,70.24,21.03,-0.118,-1.645,-2.853,1.209,2.25,70.8,68.2,21.03,1.51,70.43,2.95,69.78,3.75,20.63,6.2,60.9,-0.204,-0.097,0.022,-0.129,-0.097,8.21,67.18,-0.16,275.9,16.41,331,188,143,39.1,24.62,63,"24' 0""",-0.129,46,20,85.19,60,33.33,94.74,0.326,47.06,69.77,0.413,66.67,27.27,53,28,50,E,E,62.79,108,172
Kevin Streelman,56.07,1.766,0.56,-0.088,"9' 1""",1.632,30.74,"8' 3""",3.1,10.47,37.6,28.07,63.16,18.18,23.05,"34' 4""",-0.037,65.4,166.3,60,50,68.35,-0.28,79.95,76.34,22.09,0.255,6.883,9.249,-2.365,2.67,70.72,69.86,22.09,1.32,70.6,3.22,71.4,3.81,20.83,6.9,44.1,0.343,0.354,-0.037,0.026,0.354,15.69,65.43,-0.19,285,10.11,104,32,72,55.9,25.8,37,"22' 2""",0.026,55,57.14,93.33,49.18,13.33,95,0.338,68.97,63.08,0.508,53.45,48.48,185,43,55.77,-0.05,-1,55.51,136,245
Chez Reavie,54.37,1.788,0.51,-0.357,"9' 3""",1.624,26.23,"8' 4""",2.84,10.6,36.17,26,66,23.33,20.52,"32' 0""",0.326,61.92,163.5,44.25,65.2,67.61,-0.24,73.97,73.25,19.39,0.135,3.638,13.278,-9.637,2.47,70.63,69.9,19.39,1.26,70.87,3.07,71,3.38,22.76,6,38.3,0.492,-0.172,0.326,0.338,-0.172,11.81,70.6,-0.16,280.1,9.71,191,93,98,61.7,21.52,7,"28' 11""",0.338,50.7,75,77.14,56,26.92,83.33,0.319,55.56,66.67,0.427,63.24,57.14,94,47,48.48,-0.056,-1,60.22,165,274
Joseph Bramlett,39,1.804,0.73,-0.189,"11' 5""",1.665,29.16,"9' 9""",4.07,10.66,35.91,36.73,53.06,11.59,21.26,"29' 8""",0.219,63.96,164.9,52.75,61.3,69.24,-0.26,81.79,72.84,20.6,-0.284,-7.671,-2.581,-5.09,2.73,71.08,70.56,20.6,1.19,70.95,3.08,70.67,3.59,16.95,8.3,53.7,-0.096,-0.262,0.219,-0.053,-0.262,14.48,56.3,-0.18,284.1,17.69,214,166,48,46.3,32.17,171,"23' 5""",-0.053,46.77,53.33,81.82,56.47,16.67,95.24,0.375,50,64.06,0.482,45.71,51.52,203,41,44.9,E,E,53.74,122,227
Sungjae Im,59.52,1.724,0.41,0.482,"10' 6""",1.568,34.27,"9' 6""",2.39,9.66,42.24,25,64,13.24,25.17,"30' 10""",0.499,63.99,167.9,65.36,57.1,68.68,-0.32,79.84,74.81,24.81,1.531,65.819,45.113,20.708,2.22,68.94,69.14,24.81,1.88,69.16,3,69.6,4.4,23.13,8.2,52.2,1.049,0.54,0.499,0.01,0.54,11.89,64.66,-0.22,291.9,13.07,71,13,58,47.8,24.96,65,"23' 10""",0.01,61.54,46.67,82.35,61.46,35.71,92.86,0.315,66.67,68.52,0.375,61.25,53.33,31,58,65.52,-0.036,-1,64.53,211,327
Steve Stricker,47.17,1.77,0.17,0.195,"11' 9""",1.549,25.43,"11' 5""",0.93,9.89,42.28,5.26,47.37,10,17.54,"36' 0""",-0.507,42.08,164.3,38.78,23.5,53.7,-0.25,62.58,58.55,15.12,-0.169,-2.198,-4.737,2.539,3.06,71.57,71.5,15.12,0.86,72,3.12,71.17,2.67,9.8,9.3,37.9,-0.364,-0.236,-0.507,0.378,-0.236,17.03,62.64,-0.08,276.4,9.89,401,176,225,62.1,26.92,55,"21' 9""",0.378,60.87,50,85.71,58.14,37.04,71.43,0.313,55.56,68.75,0.419,69.57,52.63,40,18,60,0.143,3,64,96,150
Lucas Glover,53.77,1.792,0.72,-0.248,"11' 5""",1.645,30.81,"10' 6""",4.13,10.35,36.95,22.06,52.94,13.64,22.6,"32' 6""",0.131,64.46,168.7,66.02,36,68.48,-0.27,78.12,73.08,21.96,-0.122,-3.175,3.281,-6.456,2.79,70.89,69.78,21.96,1.26,70.79,3.05,71.23,3.86,14.96,6.9,61.6,0.126,0.351,0.131,-0.356,0.351,8.84,67.68,-0.15,289.5,14.36,76,11,65,38.4,23.2,41,"22' 5""",-0.356,48.19,44.44,69.7,52.63,26.09,76.47,0.424,60.71,61.02,0.526,46.3,45.16,189,43,53.19,0.118,2,55.33,135,244
Fabián Gómez,56.36,1.758,0.42,0.016,"10' 11""",1.602,28.46,"10' 6""",2.33,10.4,37.73,15.22,52.17,10.17,22.82,"32' 5""",-0.13,60.6,163.2,51.11,40.9,66.8,-0.28,76.88,70.16,20.8,0.008,0.224,-0.207,0.433,2.44,70.04,70.67,20.8,1.4,70.21,3.05,69.15,3.53,18.02,5.9,61.6,-0.008,-0.176,-0.13,0.298,-0.176,7.98,65.43,-0.19,279.5,17.02,208,90,118,38.4,25,36,"23' 6""",0.298,60,66.67,90.24,64.21,22.22,90.48,0.347,68,61.33,0.358,56.99,51.52,82,43,50,0.048,1,61.09,157,257
Ryan Armour,41.84,1.789,0.72,-1.084,"9' 0""",1.653,29.32,"8' 5""",4.17,10.56,35.34,18.6,58.14,9.68,20.36,"31' 10""",0.065,62.17,168.2,54.43,27.3,68.06,-0.24,75.33,72.22,21.45,-0.562,-12.919,12.009,-24.927,3.03,71.29,69.67,21.45,1.21,70.64,3.07,71.62,3.83,20.75,3.4,48.1,0.522,0.132,0.065,0.325,0.132,10.28,75.39,-0.13,275.8,9.66,172,95,77,51.9,19.94,2,"24' 5""",0.325,44.44,60,83.33,55.29,28,81.82,0.397,43.75,58.62,0.412,59.42,57.14,172,36,43.9,0.182,2,56.04,116,207
Danny Lee,55.97,1.763,0.67,-0.321,"10' 1""",1.602,31.74,"9' 8""",3.7,9.76,40.61,14.49,49.28,15.56,23.32,"34' 0""",0.203,58.47,167.3,70.97,48.6,66.4,-0.28,78.27,68.65,22.49,0.053,1.489,10.466,-8.975,2.5,69.69,70.67,22.49,1.44,70.05,3.01,69,3.95,20.37,9,46.6,0.374,0.398,0.203,-0.227,0.398,16.15,56.67,-0.2,296.8,13.33,183,53,130,53.4,29.49,155,"24' 2""",-0.227,58.75,50,88.1,59.7,36.67,100,0.447,57.14,58.82,0.388,59.34,53.85,47,42,62.79,E,E,63.39,161,254
Xinjun Zhang,50.96,1.76,0.68,-0.108,"10' 11""",1.607,32.22,"9' 11""",3.9,9.93,38.6,21.43,63.1,16.67,25.2,"34' 3""",0.277,62.14,165.4,57.53,47.1,67.35,-0.28,80.38,72.51,23.78,0.259,10.084,14.305,-4.218,2.82,70.72,69.5,23.78,1.36,70.61,3.06,71.65,4.25,21.64,6.3,59,0.367,-0.041,0.277,0.13,-0.041,13.24,58.82,-0.22,287.6,17.46,272,170,102,41,30.7,131,"23' 7""",0.13,48.98,46.67,82.61,53.57,20.51,96.15,0.431,46.88,58.82,0.446,58.42,47.06,176,57,45.83,-0.231,-6,55.82,187,335
Cameron Smith,58.47,1.725,0.44,0.754,"10' 11""",1.586,35.27,"9' 5""",2.47,9.86,41.67,31.03,68.97,20.75,26.83,"29' 6""",-0.287,61.24,167.9,59.79,34.8,66.67,-0.34,83.22,71.19,24.38,0.485,13.09,-7.259,20.35,2.56,70.09,70.29,24.38,1.52,69.94,3.06,69.18,4.22,18.37,6.2,43.3,-0.269,-0.063,-0.287,0.081,-0.063,18.28,57.53,-0.27,294.2,15.86,205,85,120,56.7,34.14,166,"24' 2""",0.081,55.36,71.43,77.14,55.7,34.62,100,0.308,69.23,66.15,0.43,62.26,58.33,129,36,54.29,-0.111,-1,58.33,126,216
Kramer Hickok,52.48,1.817,0.62,-0.391,"9' 2""",1.61,25.89,"8' 4""",3.42,10,39.6,32.43,67.57,18.6,16.39,"34' 9""",-0.58,57.89,159.4,46.84,39.3,63.96,-0.22,72.07,69.66,17.66,-0.465,-12.078,-1.917,-10.16,2.62,71.48,68.83,17.66,1.11,70.87,3.1,72.29,3.1,17.59,7.7,51.3,-0.074,0.084,-0.58,0.423,0.084,9.64,68.32,-0.07,279.5,12.4,257,69,188,48.7,22.04,43,"23' 10""",0.423,52.73,69.23,87.18,64.13,41.18,100,0.3,36.36,62.86,0.38,59.77,64.52,33,39,52.17,-0.036,-1,64.43,163,253
Michael Thompson,63.81,1.794,0.59,0.153,"10' 10""",1.616,27.42,"9' 11""",3.3,10.13,39.24,28.57,63.27,15.38,18.8,"35' 1""",-0.552,60.31,166.8,56.98,55,64.76,-0.25,75.26,69.44,18.75,-0.51,-13.268,-17.24,3.974,2.53,71.08,69.5,18.75,1.14,71.09,3.04,71.36,3.28,20.69,5.6,48.4,-0.663,-0.196,-0.552,0.085,-0.196,13.61,65.83,-0.12,277.3,11.94,295,126,169,51.6,25.56,54,"25' 11""",0.085,53.23,40,85.71,63.08,6.25,100,0.32,62.96,68,0.369,47.83,53.19,106,32,56.25,-0.15,-3,59.61,121,203
Kurt Kitayama,40,1.731,0.33,-0.739,"8' 7""",1.605,30.1,"8' 2""",1.85,10.5,38.27,8.11,62.16,15.38,16.78,"32' 6""",0.033,54.32,171.9,78.72,40,64.2,-0.3,77.21,64.35,20.37,-0.269,-3.224,5.645,-8.867,2.67,70.55,71.25,20.37,1.18,71,3.12,70.2,3.5,20.75,6,68.8,0.47,0.199,0.033,0.238,0.199,10.84,56.63,-0.14,297.6,19.88,248,67,181,31.3,30.72,194,"26' 7""",0.238,42.86,33.33,76.19,50,64.29,100,0.647,45.45,44.12,0.575,53.13,33.33,190,18,58.82,E,E,55.17,64,116
George McNeill,60,1.824,0.64,0.046,"9' 8""",1.679,24.19,"9' 4""",3.54,11.14,33.59,13.64,45.45,7.69,20.48,"33' 6""",0.113,68.95,162.2,40,57.1,70.2,-0.21,79.67,76.5,17.93,-0.27,-3.505,-4.101,0.596,2.5,71.63,72.5,17.93,1.15,71.45,3.1,71.14,3.09,24.14,3.9,62.7,-0.315,-0.159,0.113,-0.269,-0.159,11.8,57.87,-0.22,282.2,23.6,226,191,35,37.3,35.39,136,"24' 4""",-0.269,40.74,28.57,84.62,56.52,25,87.5,0.269,50,73.08,0.5,55.56,44.44,144,22,44.44,0.063,1,57.63,68,118
Matt Every,49.12,1.754,0.87,-0.81,"10' 0""",1.637,34.09,"9' 0""",4.81,10,38.15,22.41,51.72,23.81,23.49,"30' 0""",-0.12,60.06,161.8,58.59,58.3,65.37,-0.29,79.75,70.51,23.52,-1.384,-35.972,-14.902,-21.068,3.2,71.67,68.25,23.52,1.1,71.87,3.25,72,4.2,25.23,6.7,52.7,-0.573,-0.289,-0.12,-0.164,-0.289,14.25,57.26,-0.17,287.8,15.92,357,205,152,47.3,30.17,170,"24' 11""",-0.164,35.19,30,80,50,23.68,84.62,0.443,42.86,54.1,0.515,46.38,32.14,225,30,36.84,0.077,1,48.13,90,187
Billy Horschel,57.01,1.752,0.49,0.328,"11' 3""",1.614,30.09,"10' 7""",2.84,10.22,39.14,20.41,48.98,14.63,21.66,"32' 10""",-0.127,61.16,167.7,53.85,45.8,68.64,-0.29,81.11,70.89,21.73,0.842,21.053,12.864,8.19,2.47,69.72,71.55,21.73,1.43,70.13,3.08,70,3.8,28.57,6.9,52.7,0.515,0.45,-0.127,0.191,0.45,10.4,66.47,-0.2,290.1,12.43,75,16,59,47.3,22.83,38,"21' 8""",0.191,50,33.33,86.11,57.81,40,93.75,0.467,44.44,53.33,0.422,55.26,58.82,159,45,45,-0.063,-1,57.09,145,254
Brendon Todd,57.4,1.737,0.54,0.388,"11' 10""",1.556,31.59,"11' 2""",3,9.16,44.78,13.79,55.17,8.2,19.57,"33' 5""",-0.186,59.79,165.2,37.91,44.4,65.89,-0.28,74.7,67.81,22,0.097,3.773,-11.343,15.117,2.12,69.71,69.6,22,1.69,69.82,2.96,70.2,3.88,25.45,3.3,49.3,-0.291,-0.12,-0.186,0.015,-0.12,10.58,72.81,-0.11,274.1,11.68,255,113,142,50.7,22.26,4,"30' 5""",0.015,69.23,47.06,89.83,68.14,43.59,96,0.262,78.79,72.82,0.301,64.76,60.78,1,50,73.02,-0.08,-2,70.03,215,307
J.J. Henry,50.91,1.846,0.76,-0.188,"9' 5""",1.677,21.83,"9' 2""",4.23,11,32.8,11.11,33.33,8.7,16.35,"33' 3""",-0.563,66.15,156.5,20.93,38.5,67.2,-0.17,81.28,69.44,16.14,-1.634,-19.603,-17.344,-2.261,3.19,71.88,72,16.14,0.85,72.14,3.07,71.88,2.81,17.19,7.7,40.3,-1.445,-0.556,-0.563,-0.326,-0.556,16.67,60.12,-0.12,274.7,12.5,265,158,107,59.7,29.17,66,"25' 8""",-0.326,27.78,28.57,83.33,68.75,29.41,87.5,0.379,50,58.62,0.292,47.37,57.14,195,21,33.33,0.125,1,54.84,68,124
Troy Merritt,58.76,1.76,0.47,0.46,"13' 9""",1.601,31.01,"12' 6""",2.63,10.16,39.33,18,58,14.81,21.1,"33' 11""",-0.498,56.22,165,57.47,40,65.06,-0.28,76.51,67.56,21.78,-0.426,-10.66,-22.158,11.501,2.58,70.77,70,21.78,1.27,70.87,3.1,70.42,3.89,20.72,7.2,61.7,-0.886,-0.157,-0.498,-0.231,-0.157,10.95,60.23,-0.12,280.2,18.16,300,138,162,38.3,29.11,79,"29' 8""",-0.231,41.54,41.67,93.55,52.54,25.93,88.46,0.468,48,62.03,0.492,58.02,54.55,150,38,50,-0.115,-3,57.32,137,239
Keith Mitchell,56.06,1.79,0.69,0.323,"9' 8""",1.615,31.34,"8' 10""",3.97,9.83,40.21,29.41,58.82,11.43,24.17,"35' 3""",-0.274,57.03,162,69.39,50,64.29,-0.27,78.35,70.44,21.16,-0.081,-2.265,-11.298,9.034,2.93,71.19,71.13,21.16,1.14,71.12,3.12,70.62,3.74,21.54,6.6,38.5,-0.404,0.481,-0.274,-0.61,0.481,16.03,62.6,-0.18,294.9,9.92,255,76,179,61.5,25.95,127,"26' 8""",-0.61,52.17,53.33,89.47,55.41,30.56,81.25,0.403,40,61.11,0.486,51.55,51.02,170,42,52.63,0.063,1,56.67,153,270
John Senden,51.06,1.813,0.88,0.009,"14' 11""",1.656,26.76,"14' 2""",4.89,10.16,38,16.67,33.33,14.29,16.67,"36' 10""",-0.699,56.99,164.1,40.91,50,63.11,-0.21,72.86,65.28,17.11,-2.182,-26.182,-26.295,0.113,3.36,71.8,70.5,17.11,0.84,72.44,3.23,72.89,3.04,16.09,7.4,60,-2.191,-0.893,-0.699,-0.599,-0.893,10.49,59.88,-0.06,274.7,17.9,397,196,201,40,28.4,122,"24' 4""",-0.599,44.44,42.86,81.82,59.15,20,77.78,0.4,33.33,60,0.408,50,50,187,25,44.12,0.222,4,55.42,92,166
Russell Knox,52.78,1.79,0.49,-0.116,"10' 3""",1.636,28.73,"9' 4""",2.72,10.61,37.53,29.69,54.69,9.46,22.47,"29' 7""",0.755,66.27,162.8,54.24,57.1,70.75,-0.25,85,74.6,20.86,0.419,14.675,18.739,-4.061,2.14,70.31,68.9,20.86,1.61,69.82,3.04,69.47,3.73,24.07,10.1,63.7,0.535,-0.192,0.755,-0.027,-0.192,9.47,60.49,-0.23,289.3,15.84,127,106,21,36.3,25.31,109,"25' 3""",-0.027,56.76,57.89,89.13,62.5,25.71,100,0.263,66.67,73.68,0.375,60.4,56.25,35,49,61.4,-0.05,-1,64.34,166,258
Tyler Duncan,54.3,1.76,0.39,-0.071,"10' 3""",1.617,29.4,"9' 2""",2.15,10.55,37.98,29.03,59.68,11.94,22.38,"31' 7""",0.205,60.82,164.4,47.69,29,66.55,-0.28,77.38,71.14,20.63,-0.28,-10.062,-7.522,-2.539,2.51,70.68,70.22,20.63,1.31,70.65,3,71.19,3.61,21.88,6.1,57.3,-0.209,-0.132,0.205,-0.282,-0.132,10.06,67.06,-0.15,276.9,14.79,237,110,127,42.7,24.85,12,"24' 11""",-0.282,44.44,33.33,84.21,52.38,34.15,96.88,0.424,55.17,58.82,0.524,57.89,42.55,151,49,47.46,-0.063,-2,57.29,169,295
Bill Haas,38.55,1.815,0.94,-1.412,"10' 6""",1.677,28.17,"9' 10""",5.38,10.41,35.76,21.62,51.35,13.46,21.94,"33' 0""",-0.049,66.99,160.9,45.68,40.6,68.4,-0.22,77.66,74.24,20.31,-1.517,-33.365,-2.302,-31.063,2.94,71,72.43,20.31,1.11,71.44,3.08,71,3.63,21.78,10.5,63.5,-0.105,-0.216,-0.049,0.16,-0.216,9.8,58.17,-0.1,285.5,17.97,216,147,69,36.5,27.78,111,"24' 3""",0.16,51.02,50,72,50,12.5,88,0.455,47.37,52.27,0.583,50.85,50,186,32,50,-0.04,-1,55.49,101,182
