player,salary,PTS,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Scoring Average (Actual)-AVG,SG: Putting-AVERAGE,SG: Total-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,SG Magnitude,SG Mag Multiply,Birdie or Better Conversion Percentage-%,One-Putt Percentage-%,Greens in Regulation Percentage-%,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie Average-AVG,Total Driving-ACCURACY RANK,Sand Save Percentage-%,Scrambling-%
Patrick Rodgers,7100,62.31,69.71,70.67,70.25,0.759,0.672,-0.088,-0.389,0.056,0.244,0.3364,33.64,31.5,39.49,66.92,21.71,1.47,3.83,212,52.87,58.66
Scott Piercy,7100,60.69,69.75,71.82,70.58,-0.184,0.157,0.34,0.196,-0.14,0.285,0.01285,1.285,27.94,37.73,66.09,19.1,1.26,3.33,99,45.33,59.73
Maverick McNealy,7100,68.63,69.94,69.42,69.69,0.515,0.833,0.318,-0.003,0.135,0.186,0.3595,35.95,33.74,43,67.8,23.97,1.79,4.22,114,63.73,66.45
Russell Henley,7100,54.36,70.13,69.71,70.29,-0.169,0.431,0.6,0.658,0.195,-0.253,0.13815,13.815,24.72,35.08,70.63,18.89,1.47,3.29,69,43.48,62.16
Lucas Glover,7100,56.58,70.89,69.78,70.79,-0.248,-0.122,0.126,0.131,-0.356,0.351,-0.09745,-9.745,30.81,36.95,68.48,21.96,1.26,3.86,41,48.19,55.33
Cameron Smith,7100,67.79,70.09,70.29,69.94,0.754,0.485,-0.269,-0.287,0.081,-0.063,0.286,28.6,35.27,41.67,66.67,24.38,1.52,4.22,166,55.36,58.33
Luke Donald,7000,57.8,69.82,70.5,70.5,0.383,0.808,0.426,0.836,0.468,-0.879,0.38445,38.445,31.71,41.98,63.27,20.99,1.19,3.67,145,31.82,57.14
Alex Noren,7000,66.67,69.55,69.57,69.81,-0.053,0.341,0.395,0.16,0.406,-0.171,0.1203,12.03,31.78,40.1,63.54,22.22,1.45,3.81,72,58.06,64.76
Max Homa,7000,65.21,70.62,68.6,70.68,0.406,0.493,0.087,0.173,-0.415,0.329,0.217,21.7,31.61,39.52,66.04,21.59,1.37,3.77,87,56.25,57.62
Talor Gooch,7000,67.68,69.69,69.85,70.07,0.377,0.597,0.22,0.132,0.14,-0.051,0.26815,26.815,30.75,39.09,67.7,21.6,1.46,3.8,161,53,58.6
Zach Johnson,7000,54.86,69.7,70.88,70.22,0.318,0.198,-0.12,0.127,-0.161,-0.086,0.1213,12.13,28.31,39.49,66.82,19.67,1.47,3.54,94,57.89,64.25
Kevin Streelman,7000,51.73,70.72,69.86,70.6,-0.088,0.255,0.343,-0.037,0.026,0.354,0.05835,5.835,30.74,37.6,68.35,22.09,1.32,3.81,37,55,55.51
Danny Lee,7000,60.04,69.69,70.67,70.05,-0.321,0.053,0.374,0.203,-0.227,0.398,-0.0495,-4.95,31.74,40.61,66.4,22.49,1.44,3.95,155,58.75,63.39
Charles Howell III,6900,65.23,70.52,68.55,69.98,0.072,0.095,0.023,-0.122,0.327,-0.183,0.0531,5.31,29.7,37.59,70.57,21.51,1.49,3.79,178,52.46,58.63
Harry Higgs,6900,66.53,69.56,69.85,69.88,0.273,0.554,0.281,-0.137,-0.025,0.443,0.2127,21.27,31.77,42.2,66.67,22.42,1.63,3.91,80,46.73,64.04
Chesson Hadley,6900,60.31,71.04,68,70.48,-0.187,0.414,0.6,0.532,-0.045,0.113,0.11085,11.085,32.34,37.3,71.03,24.21,1.39,4.24,48,42.67,51.14
Ryan Moore,6900,59.67,69.79,71.17,70.3,0.044,0.529,0.485,0.203,0.016,0.266,0.17845,17.845,30.08,40.74,66.67,21.3,1.46,3.8,23,59.26,61.67
Brendon Todd,6900,66.37,69.71,69.6,69.82,0.388,0.097,-0.291,-0.186,0.015,-0.12,0.09815,9.815,31.59,44.78,65.89,22,1.69,3.88,4,69.23,70.03
Russell Knox,6900,57.03,70.31,68.9,69.82,-0.116,0.419,0.535,0.755,-0.027,-0.192,0.13895,13.895,28.73,37.53,70.75,20.86,1.61,3.73,109,56.76,64.34
Matthew Wolff,6900,58.5,70.83,72.22,71.13,0.02,-0.14,-0.16,-0.305,-0.494,0.639,-0.07795,-7.795,30.54,37.5,64.72,20,1.18,3.53,161,41.79,56.69
Andrew Putnam,6800,54.8,70.33,70.33,70.34,0.917,-0.115,-1.031,-0.088,-0.103,-0.841,0.1396,13.96,29.02,40.8,67.01,19.79,1.37,3.47,124,53.57,64.21
Chez Reavie,6800,56.23,70.63,69.9,70.87,-0.357,0.135,0.492,0.326,0.338,-0.172,0.0023,0.23,26.23,36.17,67.61,19.39,1.26,3.38,7,50.7,60.22
Danny Willett,6800,47.06,71.83,73.75,72.3,0.185,-0.02,-0.205,-0.019,-0.026,-0.159,0.0288,2.88,31.84,42.5,61.94,20.56,0.95,3.65,211,58.54,54.74
Andrew Landry,6800,50.85,70.5,68.5,70.32,-0.354,-0.21,0.144,-0.046,-0.094,0.284,-0.1408,-14.08,30.21,39.19,65.77,21.17,1.37,3.76,52,39.62,61.84
Charley Hoffman,6800,57.65,70.71,70.75,70.8,-0.151,0.127,0.278,0.187,-0.07,0.161,0.01375,1.375,33.87,39.3,67.34,23.98,1.37,4.17,157,50.63,52.7
Emiliano Grillo,6800,48.14,70.48,69.83,70.38,-1.143,-0.432,0.712,0.733,-0.138,0.117,-0.32815,-32.815,27.59,31.05,72.93,21.23,1.28,3.69,34,40.43,51.58
Vaughn Taylor,6700,63.18,70.27,69.82,70.29,0.457,0.208,-0.25,-0.084,-0.144,-0.022,0.1421,14.21,33.81,42.29,64.17,23.02,1.44,4.08,17,47.66,58.23
Dylan Frittelli,6700,59.37,70.4,71.55,70.73,-0.111,-0.177,-0.066,-0.059,0.249,-0.256,-0.0658,-6.58,30.63,41.24,64.85,21.05,1.25,3.69,141,54.26,62.01
