player,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Sand Saves from < 10 yards-ROUNDS,Sand Saves from < 10 yards-%,Sand Saves from < 10 yards-# OF SAVES,Sand Saves from < 10 yards-# OF BUNKERS,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling > 30 yds (RTP Score)-ROUNDS,Scrambling > 30 yds (RTP Score)-AVG RTP,Scrambling > 30 yds (RTP Score)-TOTAL HOLES,Scrambling > 30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Sand Saves from 20-30 yards-ROUNDS,Sand Saves from 20-30 yards-%,Sand Saves from 20-30 yards-# OF SAVES,Sand Saves from 20-30 yards-# OF BUNKERS,Scrambling from < 10 yards-ROUNDS,Scrambling from < 10 yards-%,Scrambling from < 10 yards-SUCCESSES,Scrambling from < 10 yards-ATTEMPTS,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Scrambling from > 30 yards-ROUNDS,Scrambling from > 30 yards-%,Scrambling from > 30 yards-SUCCESSES,Scrambling from > 30 yards-ATTEMPTS,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Proximity to Hole from 30+ yards-ROUNDS,Proximity to Hole from 30+ yards-AVG DTP,Proximity to Hole from 30+ yards-TOTAL DISTANCE (FEET),Proximity to Hole from 30+ yards-# OF SHOTS,Proximity to Hole from 30+ yards-SCRAMBLING RANK,Scrambling Average Distance to Hole-ROUNDS,Scrambling Average Distance to Hole-AVG DTP,Scrambling Average Distance to Hole-TOTAL DISTANCE (FEET),Scrambling Average Distance to Hole-ATTEMPTS,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling 10-20 yds (RTP Score)-ROUNDS,Scrambling 10-20 yds (RTP Score)-AVG RTP,Scrambling 10-20 yds (RTP Score)-TOTAL HOLES,Scrambling 10-20 yds (RTP Score)-TOTAL RTP,Sand Saves from 10-20 yards-ROUNDS,Sand Saves from 10-20 yards-%,Sand Saves from 10-20 yards-# OF SAVES,Sand Saves from 10-20 yards-# OF BUNKERS,Scrambling from 10-20 yards-ROUNDS,Scrambling from 10-20 yards-%,Scrambling from 10-20 yards-SUCCESSES,Scrambling from 10-20 yards-ATTEMPTS,Proximity to Hole from 20-30 yards-ROUNDS,Proximity to Hole from 20-30 yards-AVG DTP,Proximity to Hole from 20-30 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 20-30 yards-# OF SHOTS,Proximity to Hole from 20-30 yards-SCRAMBLING RANK,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Scrambling from 20-30 yards-ROUNDS,Scrambling from 20-30 yards-%,Scrambling from 20-30 yards-SUCCESSES,Scrambling from 20-30 yards-ATTEMPTS,Proximity to Hole from 10-20 yards-ROUNDS,Proximity to Hole from 10-20 yards-AVG DTP,Proximity to Hole from 10-20 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 10-20 yards-# OF SHOTS,Proximity to Hole from 10-20 yards-SCRAMBLING RANK,Scrambling 20-30 yds (RTP Score)-ROUNDS,Scrambling 20-30 yds (RTP Score)-AVG RTP,Scrambling 20-30 yds (RTP Score)-TOTAL HOLES,Scrambling 20-30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from < 10 yards-ROUNDS,Proximity to Hole from < 10 yards-AVG DTP,Proximity to Hole from < 10 yards-TOTAL DISTANCE (FEET),Proximity to Hole from < 10 yards-# OF SHOTS,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Sand Saves from 30+ yards-ROUNDS,Sand Saves from 30+ yards-%,Sand Saves from 30+ yards-# OF SAVES,Sand Saves from 30+ yards-# OF BUNKERS
Sergio Garcia,22,.115,1.150,10,22,52.38,22,42,+7.00,22,40.00,2,5,22,"1' 10""",9.167,5,140,22,"7' 5""",236.667,32,140,22,+1.200,5,+6.00,22,"7' 3""",108.917,15,140,22,"6' 9""",472.167,70,140,22,75.00,3,4,22,88.89,16,18,22,58.33,14,24,22,.00,0,5,22,85.71,6,7,22,"19' 4""",154.583,8,140,22,"6' 6""",371.833,57,22,"6' 6""",1.409,18,140,22,+.417,24,+10.00,22,61.54,8,13,22,58.33,14,24,22,"5' 0""",65.500,13,140,22,+.458,24,+11.00,22,66.67,12,18,22,76.92,10,13,22,"6' 3""",206.333,33,140,22,+.231,13,+3.00,22,"2' 10""",45.750,16,140,22,66.67,8,12,22,+.429,7,+3.00,22,57.81,74,128,22,.00,0,1
Kyoung-Hoon Lee,50,.112,3.592,32,50,54.55,54,99,+25.00,50,66.67,2,3,50,"2' 6""",42.750,17,46,50,"7' 7""",394.167,52,46,50,+.763,38,+29.00,50,"8' 5""",597.833,71,46,50,"6' 9""","1,568.250",232,46,50,61.90,13,21,50,88.64,39,44,50,57.69,45,78,50,34.21,13,38,50,91.18,31,34,50,"12' 2""",351.917,29,46,50,"7' 5""","1,490.500",202,50,"5' 10""",6.402,92,46,50,+.265,98,+26.00,50,60.47,26,43,50,72.45,71,98,50,"7' 7""",388.833,51,46,50,+.474,78,+37.00,50,66.96,77,115,50,56.82,25,44,50,"6' 2""",668.250,109,46,50,+.455,44,+20.00,50,"3' 8""",159.250,43,46,50,53.42,39,73,50,-.059,34,-2.00,50,63.49,200,315,50,36.36,4,11
Brian Harman,48,.109,4.469,41,48,59.49,47,79,+23.00,48,100.00,2,2,48,"2' 3""",61.833,28,20,48,"7' 0""",534.333,76,20,48,+.700,40,+28.00,48,"8' 10""",521.750,59,20,48,"6' 7""","1,687.583",257,20,48,47.06,8,17,48,88.68,47,53,48,57.45,54,94,48,42.50,17,40,48,92.00,23,25,48,"11' 11""",285.500,24,20,48,"7' 6""","1,667.333",223,48,"6' 1""",6.836,94,20,48,+.283,113,+32.00,48,64.44,29,45,48,70.80,80,113,48,"8' 1""",435.500,54,20,48,+.426,94,+40.00,48,67.54,77,114,48,50.00,21,42,48,"6' 7""",827.583,126,20,48,+.524,42,+22.00,48,"2' 7""",139.000,53,20,48,63.33,38,60,48,-.120,25,-3.00,48,65.31,192,294,48,50.00,4,8
Matt Kuchar,30,.101,2.327,23,30,58.54,24,41,+8.00,30,25.00,1,4,30,"1' 9""",26.333,15,43,30,"8' 6""",432.833,51,43,30,+.619,21,+13.00,30,"11' 9""",340.417,29,43,30,"7' 10""","1,085.750",138,43,30,90.91,10,11,30,71.43,20,28,30,59.21,45,76,30,42.86,9,21,30,89.47,17,19,30,"15' 9""",299.833,19,43,30,"9' 1""","1,073.833",118,30,"6' 8""",3.434,43,43,30,+.283,53,+15.00,30,64.29,9,14,30,71.70,38,53,30,"7' 9""",294.833,38,43,30,+.474,76,+36.00,30,66.67,34,51,30,78.57,22,28,30,"7' 2""",386.250,54,43,30,+.214,28,+6.00,30,"3' 11""",104.833,27,43,30,53.33,16,30,30,E,19,E,30,63.64,112,176,30,20.00,1,5
J.T. Poston,50,.098,3.446,35,50,57.14,48,84,+13.00,50,66.67,4,6,50,"3' 6""",45.167,13,73,50,"8' 9""",594.917,68,73,50,+.778,36,+28.00,50,"8' 2""",442.500,54,73,50,"7' 9""","1,746.333",225,73,50,63.64,14,22,50,83.33,30,36,50,59.52,50,84,50,36.11,13,36,50,100.00,13,13,50,"13' 1""",484.500,37,73,50,"8' 7""","1,533.333",178,50,"7' 5""",7.965,90,73,50,+.296,71,+21.00,50,68.00,17,25,50,70.42,50,71,50,"8' 8""",595.250,69,73,50,+.452,84,+38.00,50,60.00,63,105,50,64.15,34,53,50,"6' 4""",515.417,81,73,50,+.377,53,+20.00,50,"4' 0""",151.167,38,73,50,68.09,32,47,50,-.077,13,-1.00,50,61.36,181,295,50,25.00,1,4
Adam Hadwin,35,.097,2.321,24,35,69.09,38,55,+5.00,35,100.00,4,4,35,"3' 1""",21.500,7,99,35,"12' 9""",508.667,40,99,35,+.842,19,+16.00,35,"7' 6""",263.167,35,99,35,"8' 1""","1,062.583",131,99,35,33.33,2,6,35,95.45,21,22,35,56.00,28,50,35,21.05,4,19,35,85.71,6,7,35,"10' 6""",220.167,21,99,35,"8' 8""",869.083,100,35,"5' 6""",3.231,49,99,35,+.250,44,+11.00,35,66.67,18,27,35,68.18,30,44,35,"12' 1""",448.333,37,99,35,+.460,50,+23.00,35,64.44,29,45,35,45.83,11,24,35,"6' 3""",312.083,50,99,35,+.542,24,+13.00,35,"3' 7""",82.000,23,99,35,60.00,18,30,35,+.143,7,+1.00,35,59.89,112,187,35,100.00,2,2
Abraham Ancer,44,.094,2.447,26,44,51.43,36,70,+16.00,44,66.67,2,3,44,"2' 9""",58.167,21,6,44,"7' 2""",395.333,55,6,44,+.731,26,+19.00,44,"10' 1""",433.833,43,6,44,"7' 0""","1,308.750",186,6,44,28.57,6,21,44,89.47,34,38,44,77.97,46,59,44,30.77,8,26,44,95.24,20,21,44,"12' 8""",303.000,24,6,44,"7' 5""","1,138.083",154,44,"6' 3""",5.057,67,6,44,+.279,68,+19.00,44,65.00,13,20,44,72.06,49,68,44,"9' 3""",433.833,47,6,44,+.220,59,+13.00,44,60.00,45,75,44,50.00,18,36,44,"5' 10""",431.583,74,6,44,+.500,36,+18.00,44,"3' 5""",140.333,41,6,44,51.22,21,41,44,E,21,E,44,67.31,175,260,44,40.00,2,5
Richy Werenski,30,.094,2.160,23,30,40.32,25,62,+28.00,30,25.00,1,4,30,"2' 5""",36.333,15,110,30,"8' 8""",504.833,58,110,30,+.889,27,+24.00,30,"10' 5""",446.917,43,110,30,"7' 10""","1,170.083",149,110,30,42.86,9,21,30,81.82,27,33,30,60.87,42,69,30,18.52,5,27,30,95.83,23,24,30,"11' 1""",278.083,25,110,30,"8' 4""","1,048.333",126,30,"5' 6""",2.184,33,110,30,+.413,46,+19.00,30,38.89,7,18,30,58.70,27,46,30,"8' 8""",362.667,42,110,30,+.391,69,+27.00,30,58.70,27,46,30,61.29,19,31,30,"8' 0""",391.083,49,110,30,+.387,31,+12.00,30,"4' 2""",138.250,33,110,30,39.58,19,48,30,-.125,24,-3.00,30,59.36,111,187,30,33.33,2,6
Lanto Griffin,60,.090,4.301,48,60,58.26,67,115,+13.00,60,83.33,5,6,60,"3' 2""",108.750,34,15,60,"8' 1""",709.750,88,15,60,+.867,45,+39.00,60,"8' 5""",731.333,87,15,60,"7' 5""","2,410.667",325,15,60,46.67,14,30,60,95.08,58,61,60,64.23,79,123,60,26.67,12,45,60,92.31,36,39,60,"12' 4""",481.250,39,15,60,"8' 4""","2,342.583",280,60,"7' 5""",10.330,116,15,60,+.299,137,+41.00,60,57.41,31,54,60,68.61,94,137,60,"8' 2""",652.667,80,15,60,+.390,123,+48.00,60,62.04,85,137,60,59.02,36,61,60,"7' 4""","1,081.833",147,15,60,+.426,61,+26.00,60,"3' 4""",194.917,59,15,60,63.16,48,76,60,-.077,39,-3.00,60,66.13,248,375,60,50.00,5,10
Michael Thompson,32,.085,2.214,26,32,53.23,33,62,+22.00,32,50.00,1,2,32,"2' 0""",31.500,16,106,32,"6' 4""",378.000,60,106,32,+1.313,16,+21.00,32,"11' 11""",476.417,40,106,32,"7' 3""","1,250.917",173,106,32,40.00,6,15,32,85.71,24,28,32,63.08,41,65,32,6.25,1,16,32,100.00,20,20,32,"8' 7""",120.167,14,106,32,"8' 0""","1,233.833",155,32,"6' 5""",4.380,57,106,32,+.320,75,+24.00,32,62.96,17,27,32,68.00,51,75,32,"9' 10""",521.167,53,106,32,+.369,65,+24.00,32,47.83,33,69,32,53.19,25,47,32,"6' 5""",516.083,80,106,32,+.511,47,+24.00,32,"3' 7""",93.500,26,106,32,56.25,27,48,32,-.150,20,-3.00,32,59.61,121,203,32,.00,0,4
Nick Taylor,41,.083,2.649,32,41,44.83,26,58,+23.00,41,75.00,3,4,41,"3' 3""",52.083,16,98,41,"8' 11""",561.000,63,98,41,+.906,32,+29.00,41,"8' 1""",323.000,40,98,41,"7' 2""","1,404.750",197,98,41,43.48,10,23,41,92.31,48,52,41,59.74,46,77,41,21.88,7,32,41,95.24,20,21,41,"8' 7""",265.833,31,98,41,"9' 2""","1,548.500",169,41,"6' 0""",5.624,78,98,41,+.446,56,+25.00,41,33.33,6,18,41,55.36,31,56,41,"9' 8""",570.167,59,98,41,+.455,77,+35.00,41,60.49,49,81,41,55.56,25,45,41,"6' 10""",410.917,60,98,41,+.533,45,+24.00,41,"3' 4""",157.833,47,98,41,43.48,20,46,41,E,21,E,41,60.00,135,225,41,33.33,2,6
Cameron Smith,36,.081,2.188,27,36,55.36,31,56,+14.00,36,50.00,4,8,36,"1' 7""",12.917,8,129,36,"8' 7""",610.500,71,129,36,+.808,26,+21.00,36,"7' 7""",281.667,37,129,36,"7' 1""","1,181.583",167,129,36,71.43,5,7,36,77.14,27,35,36,55.70,44,79,36,34.62,9,26,36,100.00,9,9,36,"8' 2""",195.083,24,129,36,"7' 10""","1,155.833",148,36,"5' 5""",3.318,51,129,36,+.308,65,+20.00,36,69.23,18,26,36,66.15,43,65,36,"8' 2""",325.083,40,129,36,+.430,79,+34.00,36,62.26,33,53,36,58.33,21,36,36,"7' 4""",532.333,73,129,36,+.417,36,+15.00,36,"4' 4""",129.083,30,129,36,54.29,19,35,36,-.111,9,-1.00,36,58.33,126,216,36,16.67,1,6
John Huh,26,.079,1.812,23,26,47.06,24,51,+16.00,26,33.33,2,6,26,"2' 11""",44.167,15,128,26,"8' 2""",325.917,40,128,26,+.759,29,+22.00,26,"7' 9""",327.000,42,128,26,"6' 10""",980.917,143,128,26,50.00,6,12,26,83.78,31,37,26,53.19,25,47,26,34.48,10,29,26,95.00,19,20,26,"10' 9""",194.167,18,128,26,"8' 9""","1,067.250",122,26,"6' 2""",3.406,46,128,26,+.491,53,+26.00,26,52.17,12,23,26,52.83,28,53,26,"7' 9""",240.417,31,128,26,+.468,47,+22.00,26,58.33,35,60,26,65.22,15,23,26,"6' 10""",408.083,60,128,26,+.348,23,+8.00,26,"4' 1""",138.250,34,128,26,44.12,15,34,26,-.050,20,-1.00,26,58.39,94,161,26,50.00,2,4
Bryson DeChambeau,30,.072,2.161,30,30,63.46,33,52,+5.00,30,100.00,4,4,30,"3' 1""",27.833,9,5,30,"8' 3""",568.417,69,5,30,+.846,13,+11.00,30,"9' 1""",391.583,43,5,30,"7' 11""","1,548.000",195,5,30,66.67,12,18,30,87.76,43,49,30,66.00,33,50,30,23.08,3,13,30,90.91,10,11,30,"13' 3""",412.000,31,5,30,"6' 11""","1,012.917",147,30,"7' 7""",6.722,74,5,30,+.338,68,+23.00,30,66.67,16,24,30,66.18,45,68,30,"9' 10""",431.833,44,5,30,+.280,50,+14.00,30,64.06,41,64,30,65.38,17,26,30,"7' 6""",546.583,73,5,30,+.308,26,+8.00,30,"3' 4""",157.583,47,5,30,68.57,24,35,30,-.091,11,-1.00,30,67.50,108,160,30,16.67,1,6
James Hahn,30,.069,1.459,21,30,43.75,21,48,+24.00,30,50.00,1,2,30,"3' 0""",35.750,12,153,30,"8' 5""",218.250,26,153,30,+.857,21,+18.00,30,"11' 8""",303.500,26,153,30,"7' 7""",903.417,119,153,30,37.50,3,8,30,85.71,18,21,30,59.52,25,42,30,38.10,8,21,30,94.44,17,18,30,"12' 5""",248.333,20,153,30,"9' 0""",918.583,102,30,"6' 3""",4.151,55,153,30,+.277,47,+13.00,30,47.06,8,17,30,65.96,31,47,30,"6' 11""",145.667,21,153,30,+.405,42,+17.00,30,54.29,38,70,30,42.86,9,21,30,"7' 3""",411.000,57,153,30,+.571,21,+12.00,30,"4' 8""",98.417,21,153,30,42.86,15,35,30,E,18,E,30,57.23,95,166,30,25.00,1,4
Luke List,41,.067,2.084,31,41,58.21,39,67,+17.00,41,66.67,2,3,41,"2' 11""",32.500,11,160,41,"8' 4""",442.167,53,160,41,+.972,36,+35.00,41,"6' 10""",266.250,39,160,41,"7' 2""","1,311.500",183,160,41,53.85,7,13,41,78.38,29,37,41,54.41,37,68,41,27.78,10,36,41,85.71,12,14,41,"12' 4""",331.917,27,160,41,"7' 10""","1,252.083",160,41,"7' 2""",6.847,80,160,41,+.304,69,+21.00,41,57.69,15,26,41,68.12,47,69,41,"8' 1""",380.000,47,160,41,+.574,68,+39.00,41,55.32,52,94,41,54.05,20,37,41,"6' 2""",457.500,74,160,41,+.486,37,+18.00,41,"4' 1""",142.083,35,160,41,63.41,26,41,41,E,14,E,41,57.08,133,233,41,60.00,3,5
Patrick Rodgers,65,.056,2.757,49,65,52.87,46,87,+21.00,65,75.00,3,4,65,"2' 4""",52.083,22,120,65,"8' 0""",814.833,102,120,65,+.707,58,+41.00,65,"8' 7""",577.417,67,120,65,"7' 4""","2,312.583",314,120,65,46.15,12,26,65,82.69,43,52,65,56.58,86,152,65,37.93,22,58,65,100.00,33,33,65,"10' 4""",597.417,58,120,65,"8' 9""","2,306.000",263,65,"7' 1""",10.419,123,120,65,+.342,111,+38.00,65,57.89,22,38,65,68.47,76,111,65,"9' 2""",763.583,83,120,65,+.461,152,+70.00,65,55.71,78,140,65,46.97,31,66,65,"6' 1""",756.500,124,120,65,+.530,66,+35.00,65,"4' 0""",195.083,49,120,65,50.85,30,59,65,-.061,33,-2.00,65,58.66,227,387,65,33.33,3,9
Matthew Fitzpatrick,28,.055,.985,18,28,50.94,27,53,+22.00,28,80.00,4,5,28,"2' 10""",34.000,12,142,28,"9' 9""",370.333,38,142,28,+.720,25,+18.00,28,"8' 6""",247.000,29,142,28,"7' 9""",894.167,115,142,28,66.67,6,9,28,76.19,16,21,28,52.38,22,42,28,32.00,8,25,28,83.33,10,12,28,"10' 10""",183.917,17,142,28,"8' 2""",815.000,100,28,"6' 9""",2.914,36,142,28,+.275,40,+11.00,28,56.25,9,16,28,70.00,28,40,28,"9' 9""",303.333,31,142,28,+.476,42,+20.00,28,60.42,29,48,28,54.17,13,24,28,"7' 0""",316.417,45,142,28,+.542,24,+13.00,28,"4' 1""",90.500,22,142,28,56.00,14,25,28,+.083,12,+1.00,28,57.71,101,175,28,.00,0,6
Scott Brown,48,.042,1.424,34,48,45.78,38,83,+30.00,48,71.43,5,7,48,"3' 2""",67.250,21,91,48,"9' 2""",660.917,72,91,48,+.846,26,+22.00,48,"9' 1""",480.083,53,91,48,"7' 8""","1,851.083",242,91,48,34.62,9,26,48,93.18,41,44,48,61.54,64,104,48,26.92,7,26,48,82.35,28,34,48,"9' 6""",267.083,28,91,48,"9' 0""","1,901.750",212,48,"6' 8""",7.714,96,91,48,+.333,87,+29.00,48,59.09,13,22,48,67.82,59,87,48,"10' 0""",737.417,74,91,48,+.462,104,+48.00,48,61.82,68,110,48,48.53,33,68,48,"7' 4""",715.833,98,91,48,+.544,68,+37.00,48,"3' 1""",130.750,42,91,48,48.44,31,64,48,+.088,34,+3.00,48,60.44,191,316,48,33.33,2,6
Mark Hubbard,53,.040,1.607,40,53,48.94,46,94,+41.00,53,60.00,3,5,53,"1' 11""",35.000,18,59,53,"7' 10""",665.417,85,59,53,+.889,36,+32.00,53,"10' 9""",678.083,63,59,53,"7' 7""","1,933.750",255,59,53,53.33,8,15,53,98.00,49,50,53,60.87,70,115,53,25.00,9,36,53,95.00,19,20,53,"10' 7""",412.583,39,59,53,"8' 0""","1,791.417",224,53,"6' 3""",6.663,89,59,53,+.358,109,+39.00,53,42.55,20,47,53,64.22,70,109,53,"8' 10""",521.417,59,59,53,+.435,115,+50.00,53,67.59,73,108,53,56.82,25,44,53,"7' 9""",848.833,109,59,53,+.455,44,+20.00,53,"3' 2""",150.917,48,59,53,48.65,36,74,53,E,20,E,53,62.26,198,318,53,50.00,4,8
Collin Morikawa,48,.039,1.528,39,48,55.42,46,83,+23.00,48,40.00,2,5,48,"2' 8""",47.750,18,93,48,"7' 8""",520.000,68,93,48,+.727,22,+16.00,48,"7' 1""",430.000,61,93,48,"7' 0""","1,615.083",232,93,48,60.00,9,15,48,83.33,45,54,48,54.69,35,64,48,36.36,8,22,48,100.00,19,19,48,"10' 5""",352.917,34,93,48,"7' 8""","1,516.667",197,48,"7' 3""",7.408,85,93,48,+.414,99,+41.00,48,60.87,28,46,48,57.58,57,99,48,"8' 2""",414.500,51,93,48,+.469,64,+30.00,48,62.50,45,72,48,57.58,19,33,48,"6' 10""",687.333,101,93,48,+.455,33,+15.00,48,"3' 6""",160.333,46,93,48,55.17,32,58,48,-.158,19,-3.00,48,60.24,153,254,48,25.00,1,4
Sebastián Muñoz,52,.033,1.533,46,52,54.55,36,66,+17.00,52,.00,0,4,52,"3' 5""",111.583,33,32,52,"8' 4""",862.500,104,32,52,+.917,48,+44.00,52,"10' 3""",541.833,53,32,52,"7' 9""","2,276.083",295,32,52,53.85,7,13,52,87.14,61,70,52,61.34,73,119,52,29.17,14,48,52,84.85,28,33,52,"13' 0""",623.583,48,32,52,"7' 10""","1,837.500",235,52,"7' 3""",9.122,105,32,52,+.320,97,+31.00,52,57.89,22,38,52,65.98,64,97,52,"10' 0""",690.000,69,32,52,+.403,119,+48.00,52,65.14,71,109,52,59.57,28,47,52,"6' 9""",740.417,110,32,52,+.426,47,+20.00,52,"3' 3""",222.083,68,32,52,59.57,28,47,52,+.061,33,+2.00,52,64.52,200,310,52,40.00,2,5
Chris Baker,37,.029,.605,21,37,50.88,29,57,+21.00,37,33.33,1,3,37,"4' 2""",41.667,10,122,37,"7' 11""",418.583,53,122,37,+.783,23,+18.00,37,"11' 0""",395.750,36,122,37,"8' 1""","1,193.500",147,122,37,33.33,4,12,37,73.08,19,26,37,56.32,49,87,37,39.13,9,23,37,87.50,14,16,37,"12' 1""",302.333,25,122,37,"8' 11""","1,089.667",122,37,"7' 0""",4.050,48,122,37,+.373,51,+19.00,37,54.55,12,22,37,66.67,34,51,37,"9' 3""",350.750,38,122,37,+.448,87,+39.00,37,59.09,39,66,37,44.83,13,29,37,"7' 8""",428.750,56,122,37,+.690,29,+20.00,37,"4' 0""",111.667,28,122,37,54.55,24,44,37,+.063,16,+1.00,37,58.60,126,215,37,66.67,2,3
Austin Cook,38,.027,.707,26,38,41.18,21,51,+22.00,38,100.00,1,1,38,"2' 0""",20.250,10,164,38,"7' 6""",404.000,54,164,38,+.933,30,+28.00,38,"12' 8""",378.917,30,164,38,"8' 5""","1,217.917",145,164,38,50.00,7,14,38,100.00,29,29,38,49.45,45,91,38,20.00,6,30,38,100.00,17,17,38,"12' 10""",334.667,26,164,38,"9' 3""","1,213.917",131,38,"8' 2""",4.977,51,164,38,+.429,63,+27.00,38,30.00,6,20,38,57.14,36,63,38,"9' 9""",313.000,32,164,38,+.538,91,+49.00,38,61.84,47,76,38,61.54,16,26,38,"8' 6""",500.667,59,164,38,+.385,26,+10.00,38,"2' 6""",69.583,28,164,38,47.22,17,36,38,-.176,17,-3.00,38,57.01,126,221,38,50.00,1,2
Kevin Streelman,43,.026,.695,27,43,55.00,44,80,+32.00,43,40.00,2,5,43,"2' 6""",45.583,18,185,43,"9' 2""",420.500,46,185,43,+1.267,15,+19.00,43,"7' 8""",345.583,45,185,43,"7' 9""","1,244.083",160,185,43,57.14,8,14,43,93.33,28,30,43,49.18,30,61,43,13.33,2,15,43,95.00,19,20,43,"13' 10""",276.083,20,185,43,"8' 6""","1,171.500",138,43,"8' 6""",5.189,51,185,43,+.338,65,+22.00,43,68.97,20,29,43,63.08,41,65,43,"9' 3""",359.333,39,185,43,+.508,61,+31.00,43,53.45,31,58,43,48.48,16,33,43,"7' 5""",521.000,70,185,43,+.576,33,+19.00,43,"2' 10""",87.667,31,185,43,55.77,29,52,43,-.050,20,-1.00,43,55.51,136,245,43,.00,0,4
Anirban Lahiri,33,.025,.535,21,33,51.67,31,60,+14.00,33,100.00,3,3,33,"1' 8""",11.500,7,165,33,"9' 11""",406.667,41,165,33,+.880,25,+22.00,33,"10' 2""",397.500,39,165,33,"7' 11""","1,065.000",135,165,33,45.45,5,11,33,84.62,22,26,33,50.00,34,68,33,20.00,5,25,33,94.12,16,17,33,"12' 9""",255.250,20,165,33,"9' 4""","1,040.500",111,33,"5' 2""",2.992,48,165,33,+.283,53,+15.00,33,57.14,12,21,33,69.81,37,53,33,"11' 3""",282.083,25,165,33,+.544,68,+37.00,33,56.06,37,66,33,45.00,9,20,33,"6' 9""",432.417,64,165,33,+.550,20,+11.00,33,"3' 8""",95.250,26,165,33,57.50,23,40,33,-.176,17,-3.00,33,56.99,110,193,33,37.50,3,8
Scott Harrington,48,.023,.781,34,48,56.82,50,88,+16.00,48,50.00,2,4,48,"2' 6""",38.000,15,171,48,"8' 5""",521.500,62,171,48,+.722,36,+26.00,48,"9' 6""",639.167,67,171,48,"7' 10""","1,692.333",217,171,48,57.89,11,19,48,81.25,26,32,48,47.06,56,119,48,33.33,12,36,48,83.33,15,18,48,"12' 7""",454.083,36,171,48,"8' 11""","1,585.333",178,48,"6' 9""",5.924,73,171,48,+.379,95,+36.00,48,56.52,26,46,48,62.11,59,95,48,"7' 10""",321.583,41,171,48,+.563,119,+67.00,48,61.05,58,95,48,54.05,20,37,48,"7' 7""",822.750,108,171,48,+.486,37,+18.00,48,"2' 11""",93.917,32,171,48,60.66,37,61,48,E,18,E,48,56.27,166,295,48,33.33,2,6
