SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,SG: Approach the Green-ROUNDS,SG: Approach the Green-AVERAGE,SG: Approach the Green-TOTAL SG:APP,SG: Approach the Green-MEASURED ROUNDS,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Name
32,-.671,-13.417,20,32,.838,16.769,20,32,.449,8.987,22.405,-13.417,20,32,1.120,.594,.838,-.313,20,32,.594,11.889,20,32,-.313,-6.254,20,Paul Casey
44,-.668,-20.717,31,44,.871,27.010,31,44,1.042,32.310,53.029,-20.717,31,44,1.711,.374,.871,.466,31,44,.374,11.580,31,44,.466,14.436,31,Hideki Matsuyama
54,-.185,-6.665,36,54,-.211,-7.595,36,54,-.145,-5.229,1.437,-6.665,36,54,.040,.227,-.211,.024,36,54,.227,8.181,36,54,.024,.851,36,Kyoung-Hoon Lee
31,-.772,-20.070,26,31,-.333,-8.655,26,31,-.605,-15.732,4.340,-20.070,26,31,.167,.366,-.333,.134,26,31,.366,9.515,26,31,.134,3.481,26,Grayson Murray
18,-.053,-.476,9,18,-.584,-5.260,9,18,-1.769,-15.924,-15.449,-.476,9,18,-1.717,-.664,-.584,-.468,9,18,-.664,-5.975,9,18,-.468,-4.211,9,Sangmoon Bae
43,-.320,-10.566,33,43,.413,13.632,33,43,.011,.378,10.946,-10.566,33,43,.332,-.082,.413,.000,33,43,-.082,-2.697,33,43,.000,.011,33,Kyle Stanley
56,-.111,-4.312,39,56,.554,21.599,39,56,1.021,39.836,44.150,-4.312,39,56,1.132,.482,.554,.096,39,56,.482,18.788,39,56,.096,3.760,39,Harold Varner III
19,-.448,-5.380,12,19,-.451,-5.410,12,19,-1.265,-15.179,-9.798,-5.380,12,19,-.817,-.284,-.451,-.082,12,19,-.284,-3.409,12,19,-.082,-.980,12,Francesco Molinari
52,-.201,-6.827,34,52,.006,.213,34,52,-.274,-9.332,-2.505,-6.827,34,52,-.074,.115,.006,-.195,34,52,.115,3.897,34,52,-.195,-6.613,34,Henrik Norlander
22,.102,1.023,10,22,.467,4.667,10,22,.992,9.923,8.900,1.023,10,22,.890,.610,.467,-.187,10,22,.610,6.103,10,22,-.187,-1.870,10,Tommy Fleetwood
39,-.505,-13.124,26,39,-.490,-12.741,26,39,-1.203,-31.283,-18.157,-13.124,26,39,-.698,-.314,-.490,.106,26,39,-.314,-8.163,26,39,.106,2.745,26,Roger Sloan
50,-.548,-20.839,38,50,.660,25.063,38,50,.351,13.342,34.182,-20.839,38,50,.900,.571,.660,-.332,38,50,.571,21.714,38,50,-.332,-12.599,38,Corey Conners
23,-.094,-1.317,14,23,-.626,-8.769,14,23,-1.585,-22.188,-20.873,-1.317,14,23,-1.491,-.510,-.626,-.354,14,23,-.510,-7.139,14,23,-.354,-4.962,14,J.J. Henry
18,.195,2.539,13,18,-.507,-6.595,13,18,-.169,-2.198,-4.737,2.539,13,18,-.364,-.236,-.507,.378,13,18,-.236,-3.063,13,18,.378,4.920,13,Steve Stricker
36,.167,4.178,25,36,.080,1.994,25,36,.518,12.947,8.769,4.178,25,36,.351,-.208,.080,.479,25,36,-.208,-5.199,25,36,.479,11.973,25,Alex Noren
22,-.153,-1.529,10,22,-.821,-8.214,10,22,-1.575,-15.748,-14.219,-1.529,10,22,-1.422,-.526,-.821,-.074,10,22,-.526,-5.263,10,22,-.074,-.742,10,Jazz Janewattananond
28,.086,1.209,14,28,.022,.308,14,28,-.118,-1.645,-2.853,1.209,14,28,-.204,-.097,.022,-.129,14,28,-.097,-1.359,14,28,-.129,-1.803,14,Ben Martin
42,-.040,-1.156,29,42,.468,13.573,29,42,1.351,39.171,40.328,-1.156,29,42,1.391,.363,.468,.560,29,42,.363,10.520,29,42,.560,16.233,29,Tony Finau
50,-.186,-6.329,34,50,.057,1.944,34,50,-.087,-2.957,3.375,-6.329,34,50,.099,.297,.057,-.255,34,50,.297,10.097,34,50,-.255,-8.670,34,Scott Piercy
38,-.398,-12.325,31,38,-2.040,-63.251,31,38,-3.304,-102.434,-90.108,-12.325,31,38,-2.907,-.754,-2.040,-.112,31,38,-.754,-23.371,31,38,-.112,-3.487,31,Martin Trainer
