player,Bogey Average-EVENTS,Bogey Average-AVERAGE BOGEYS PER ROUND,Bogey Average-TOTAL BOGEYS,Bogey Average-ROUNDS PLAYED,Final Round Performance-EVENTS,Final Round Performance-%,Front 9 Par 4 Scoring Average-ROUNDS,Front 9 Par 4 Scoring Average-AVG,Front 9 Par 4 Scoring Average-TOTAL STROKES,Front 9 Par 4 Scoring Average-TOTAL HOLES,Back 9 Par 4 Scoring Average-ROUNDS,Back 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-TOTAL STROKES,Back 9 Par 4 Scoring Average-TOTAL HOLES,Birdie Average-ROUNDS,Birdie Average-AVG,Birdie Average-# OF BIRDIES,Birdie Average-TOTAL ROUNDS,Scoring Average-ROUNDS,Scoring Average-AVG,Scoring Average-TOTAL STROKES,Scoring Average-TOTAL ADJUSTMENT,Scoring Average-TOTAL ROUNDS,Front 9 Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-TOTAL STROKES,Front 9 Round 1 Scoring Average-TOTAL ROUNDS,Front 9 Par 3 Scoring Average-ROUNDS,Front 9 Par 3 Scoring Average-AVG,Front 9 Par 3 Scoring Average-TOTAL STROKES,Front 9 Par 3 Scoring Average-TOTAL HOLES,Birdie to Bogey Ratio-ROUNDS,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie to Bogey Ratio-TOTAL BIRDIES AND BETTER,Birdie to Bogey Ratio-TOTAL BOGEYS AND WORSE,Back 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-TOTAL STROKES,Back 9 Round 1 Scoring Average-TOTAL ROUNDS,Bogey Avoidance-ROUNDS,Bogey Avoidance-% MAKES BOGEY,Bogey Avoidance-BOGEYS,Bogey Avoidance-HOLES PLAYED,Back 9 Par 3 Scoring Average-ROUNDS,Back 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-TOTAL STROKES,Back 9 Par 3 Scoring Average-TOTAL HOLES,Par 5 Performance-ROUNDS,Par 5 Performance-STATUS,Par 5 Performance-PAR 5 AVG,Par 5 Performance-TOTAL PAR,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,Total Eagles-ROUNDS,Total Eagles-TOTAL,Round 3 Scoring Average-AVG,Round 3 Scoring Average-TOTAL STROKES,Round 3 Scoring Average-TOTAL ROUNDS,Round 2 Scoring Average-AVG,Round 2 Scoring Average-TOTAL STROKES,Round 2 Scoring Average-TOTAL ROUNDS,Par 4 Performance-ROUNDS,Par 4 Performance-STATUS,Par 4 Performance-PAR 4 AVG,Par 4 Performance-TOTAL PAR,Final Round Scoring Average-AVG,Final Round Scoring Average-TOTAL STROKES,Final Round Scoring Average-TOTAL ROUNDS,Back 9 Round 4 Scoring Average-AVG,Back 9 Round 4 Scoring Average-TOTAL STROKES,Back 9 Round 4 Scoring Average-TOTAL ROUNDS,Round 4 Scoring Average-AVG,Round 4 Scoring Average-TOTAL STROKES,Round 4 Scoring Average-TOTAL ROUNDS,Par 4 Scoring Average-ROUNDS,Par 4 Scoring Average-AVG,Par 4 Scoring Average-TOTAL STROKES,Par 4 Scoring Average-TOTAL HOLES,Par Breakers-ROUNDS,Par Breakers-%,Par Breakers-# BIRDIES/EAGLES,Par Breakers-# HOLES,Back 9 Round 2 Scoring Average-AVG,Back 9 Round 2 Scoring Average-TOTAL STROKES,Back 9 Round 2 Scoring Average-TOTAL ROUNDS,Bounce Back-ROUNDS,Bounce Back-%,Birdie or Better Percentage-ROUNDS,Birdie or Better Percentage-%,Birdie or Better Percentage-TOTAL BIRDIES,Birdie or Better Percentage-TOTAL HOLES,Birdie or Better Percentage-GIR RANK,Front 9 Round 3 Scoring Average-AVG,Front 9 Round 3 Scoring Average-TOTAL STROKES,Front 9 Round 3 Scoring Average-TOTAL ROUNDS,Front 9 Round 2 Scoring Average-AVG,Front 9 Round 2 Scoring Average-TOTAL STROKES,Front 9 Round 2 Scoring Average-TOTAL ROUNDS,Scoring Average Before Cut-AVG,Scoring Average Before Cut-TOTAL STROKES,Scoring Average Before Cut-TOTAL ROUNDS,Back 9 Scoring Average-ROUNDS,Back 9 Scoring Average-AVG,Back 9 Scoring Average-TOTAL STROKES,Back 9 Scoring Average-TOTAL HOLES,Par 5 Eagle Leaders-ROUNDS,Par 5 Eagle Leaders-TOTAL,Par 5 Eagle Leaders-TOTAL PAR 5 HOLES,Par 5 Eagle Leaders-TOTAL HOLE OUTS,Round 1 Scoring Average-AVG,Round 1 Scoring Average-TOTAL STROKES,Round 1 Scoring Average-TOTAL ROUNDS,Back 9 Par 5 Scoring Average-ROUNDS,Back 9 Par 5 Scoring Average-AVG,Back 9 Par 5 Scoring Average-TOTAL STROKES,Back 9 Par 5 Scoring Average-TOTAL HOLES,Par 4 Birdie or Better Leaders-ROUNDS,Par 4 Birdie or Better Leaders-%,Par 4 Birdie or Better Leaders-PAR 4 BIRDIES OR BETTER,Par 4 Birdie or Better Leaders-PAR 4 HOLES,Back 9 Round 3 Scoring Average-AVG,Back 9 Round 3 Scoring Average-TOTAL STROKES,Back 9 Round 3 Scoring Average-TOTAL ROUNDS,Par 5 Scoring Average-ROUNDS,Par 5 Scoring Average-AVG,Par 5 Scoring Average-TOTAL STROKES,Par 5 Scoring Average-TOTAL HOLES,Par 3 Scoring Average-ROUNDS,Par 3 Scoring Average-AVG,Par 3 Scoring Average-TOTAL STROKES,Par 3 Scoring Average-TOTAL HOLES,Total Birdies-ROUNDS,Total Birdies-TOTAL,Par 5 Birdie or Better Leaders-ROUNDS,Par 5 Birdie or Better Leaders-%,Par 5 Birdie or Better Leaders-PAR 5 BIRDIES OR BETTER,Par 5 Birdie or Better Leaders-PAR 5 HOLES,Front 9 Round 4 Scoring Average-AVG,Front 9 Round 4 Scoring Average-TOTAL STROKES,Front 9 Round 4 Scoring Average-TOTAL ROUNDS,Par 3 Birdie or Better Leaders-ROUNDS,Par 3 Birdie or Better Leaders-%,Par 3 Birdie or Better Leaders-PAR 3 BIRDIES OR BETTER,Par 3 Birdie or Better Leaders-PAR 3 HOLES,Stroke Differential Field Average-ROUNDS,Stroke Differential Field Average-STROKE DIFFERENTIAL,Stroke Differential Field Average-PLAYER'S SCORE,Stroke Differential Field Average-FIELD AVERAGE SCORE,Eagles (Holes per)-ROUNDS,Eagles (Holes per)-FREQUENCY,Eagles (Holes per)-# OF HOLES,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Scoring Average (Actual)-AVG,Scoring Average (Actual)-TOTAL STROKES,Scoring Average (Actual)-TOTAL ROUNDS,Front 9 Par 5 Scoring Average-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Front 9 Par 5 Scoring Average-TOTAL STROKES,Front 9 Par 5 Scoring Average-TOTAL HOLES,Par 3 Performance-ROUNDS,Par 3 Performance-STATUS,Par 3 Performance-PAR 3 AVG,Par 3 Performance-TOTAL PAR
Collin Morikawa,12,2.52,121,48,12,25.00,48,4.04,"1,067",264,48,3.95,996,252,52,4.10,213,52,52,70.083,"3,617",27.298,52,34.83,418,12,52,3.09,334,108,48,1.61,208,129,34.46,448,13,52,14.74,138,936,48,2.98,274,92,48,-86,4.45,7.80,52,1.246,53.593,64.898,-11.302,43,48,12,69.42,833,12,68.25,819,12,48,-1,4.00,20.64,71.08,853,12,35.50,426,12,71.08,853,12,52,3.99,"2,236",560,48,24.07,208,864,33.75,405,12,48,18.70,48,24.07,208,864,27,34.50,414,12,34.62,450,13,68.81,"1,789",26,48,34.69,"1,665",48,48,11,156,5,69.42,833,12,48,4.49,395,88,48,17.44,90,516,34.92,419,12,48,4.45,694,156,52,3.04,633,208,48,196,52,57.14,96,168,35.58,427,12,48,15.63,30,192,48,+1.31,69.54,70.85,48,72.0,864,12,52,69.56,"3,617",52,48,4.40,299,68,48,+5,3.03,5.76
Chad Campbell,7,2.53,43,17,7,100.00,17,3.98,350,88,17,4.12,367,89,17,3.29,56,17,17,71.635,"1,206",11.802,17,35.29,247,7,17,3.09,108,35,17,1.23,58,47,35.86,251,7,17,15.36,47,306,17,2.88,98,34,17,-17,4.72,3.00,17,.385,3.852,.499,3.353,10,17,2,69.50,139,2,71.57,501,7,17,+9,4.05,7.08,68.00,68,1,36.00,36,1,68.00,68,1,17,4.05,717,177,17,18.95,58,306,36.43,255,7,17,27.66,17,18.95,58,306,81,34.50,69,2,35.14,246,7,71.33,"1,070",15,17,36.00,612,17,17,2,60,1,71.14,498,7,17,4.90,147,30,17,15.25,27,177,35.00,70,2,17,4.72,283,60,17,2.99,206,69,17,56,17,35.00,21,60,32.00,32,1,17,14.49,10,69,17,-.16,70.94,70.78,17,153.0,306,2,17,70.94,"1,206",17,17,4.53,136,30,17,-1,2.99,2.07
Brian Gay,15,2.53,119,47,15,37.50,47,3.98,996,250,47,4.02,"1,000",249,49,3.92,192,49,49,71.180,"3,464",23.834,49,35.53,533,15,49,3.05,302,99,47,1.37,189,138,35.19,563,16,49,16.67,147,882,47,3.04,286,94,47,-41,4.74,7.90,49,-.391,-14.068,-19.609,5.544,36,47,3,69.00,621,9,71.00,"1,065",15,47,E,4.00,19.96,71.75,574,8,36.00,288,8,71.75,574,8,49,4.01,"2,087",521,47,22.34,189,846,35.87,538,15,47,26.56,47,22.34,189,846,172,33.78,304,9,35.13,562,16,70.74,"2,405",34,47,35.53,"1,670",47,47,2,158,2,70.67,"1,060",15,47,4.80,384,80,47,21.44,107,499,35.22,317,9,47,4.74,749,158,49,3.05,600,197,47,186,49,35.37,58,164,35.75,286,8,47,14.29,27,189,47,+.26,70.64,70.90,47,282.0,846,3,49,70.69,"3,464",49,47,4.68,365,78,47,+8,3.04,5.67
Chris Kirk,7,2.53,48,19,7,.00,19,4.10,435,106,19,4.07,435,107,19,2.84,54,19,19,71.041,"1,345",4.779,19,35.57,249,7,19,3.05,119,39,19,1.04,56,54,35.86,251,7,19,15.79,54,342,19,3.11,118,38,19,-22,4.58,2.60,19,-.847,-10.160,-.206,-9.954,12,19,2,68.33,205,3,70.57,494,7,19,+18,4.08,8.52,73.00,146,2,36.50,73,2,73.00,146,2,19,4.08,870,213,19,16.37,56,342,34.57,242,7,19,20.41,19,16.37,56,342,76,33.67,101,3,36.00,252,7,70.93,"1,064",15,19,35.26,670,19,19,2,52,0,71.43,500,7,19,4.50,117,26,19,10.33,22,213,34.67,104,3,19,4.58,238,52,19,3.08,237,77,19,54,19,46.15,24,52,36.50,73,2,19,12.99,10,77,19,-.36,70.79,70.43,19,171.0,342,2,19,70.79,"1,345",19,19,4.65,121,26,19,+6,3.08,2.31
Michael Thompson,11,2.53,81,32,11,25.00,32,4.12,721,175,32,4.07,692,170,36,3.47,125,36,36,71.182,"2,542",20.543,36,35.73,393,11,36,3.01,220,73,32,1.14,108,95,35.33,424,12,36,15.12,98,648,32,3.05,195,64,32,-40,4.61,5.10,36,-.150,-4.489,-12.450,7.963,30,32,3,69.50,417,6,71.36,785,11,32,+33,4.10,13.80,71.75,287,4,34.75,139,4,71.75,287,4,36,4.06,"1,581",389,32,18.75,108,576,35.73,393,11,32,20.69,32,18.75,108,576,169,33.67,202,6,35.58,427,12,70.77,"1,840",26,32,35.63,"1,140",32,32,3,102,1,71.45,786,11,32,4.69,253,54,32,13.62,47,345,35.83,215,6,32,4.61,470,102,36,3.02,438,145,32,105,36,44.74,51,114,37.00,148,4,32,13.18,17,129,32,-.32,71.09,70.77,32,192.0,576,3,36,70.61,"2,542",36,32,4.52,217,48,32,+5,3.04,3.87
Beau Hossler,15,2.53,134,53,15,63.64,53,4.07,"1,172",288,53,4.04,"1,126",279,53,3.55,188,53,53,71.200,"3,749",24.614,53,35.33,530,15,53,2.95,316,107,53,1.29,194,150,35.20,528,15,53,15.72,150,954,53,3.08,327,106,53,-62,4.64,8.70,53,-.261,-9.138,-31.747,22.611,35,53,6,71.67,860,12,70.33,"1,055",15,53,+30,4.05,22.68,70.55,776,11,35.36,389,11,70.55,776,11,53,4.05,"2,298",567,53,20.34,194,954,35.20,528,15,53,23.94,53,20.34,194,954,154,35.42,425,12,35.13,527,15,70.41,"2,253",32,53,35.47,"1,880",53,53,6,174,2,70.53,"1,058",15,53,4.64,427,92,53,16.93,96,567,36.25,435,12,53,4.64,808,174,53,3.02,643,213,53,188,53,41.38,72,174,35.18,387,11,53,12.21,26,213,53,+.06,70.74,70.80,53,159.0,954,6,53,70.74,"3,749",53,53,4.65,381,82,53,+4,3.02,6.39
Andrew Landry,13,2.54,94,37,13,40.00,37,3.99,822,206,37,3.98,769,193,41,3.88,159,41,41,70.924,"2,874",33.890,41,35.00,455,13,41,3.04,252,83,37,1.37,141,103,35.29,494,14,41,14.77,109,738,37,3.11,230,74,37,-38,4.68,5.90,41,-.075,-2.535,5.658,-8.192,34,37,2,68.50,411,6,71.15,925,13,37,-5,3.99,15.96,70.20,351,5,36.00,180,5,70.20,351,5,41,3.98,"1,762",443,37,21.17,141,666,36.31,472,13,37,19.59,37,21.17,141,666,147,35.33,212,6,34.86,488,14,70.30,"2,109",30,37,35.43,"1,311",37,37,2,118,1,70.38,915,13,37,4.73,312,66,37,17.54,70,399,33.17,199,6,37,4.68,552,118,41,3.07,507,165,37,139,41,46.15,60,130,34.20,171,5,37,12.75,19,149,37,+.15,70.32,70.47,37,333.0,666,2,41,70.10,"2,874",41,37,4.62,240,52,37,+12,3.08,4.47
Adam Long,16,2.54,142,56,16,81.82,56,4.01,"1,224",305,56,3.96,"1,180",298,58,3.79,220,58,58,70.563,"4,067",25.680,58,34.50,552,16,58,3.03,367,121,56,1.44,221,154,35.47,603,17,58,15.13,158,"1,044",56,3.13,338,108,56,-68,4.62,9.00,58,.517,21.180,15.615,5.567,41,56,7,72.15,938,13,69.00,"1,104",16,56,-8,3.99,24.12,69.55,765,11,34.91,384,11,69.55,765,11,58,3.98,"2,488",625,56,21.92,221,"1,008",34.69,555,16,56,23.08,56,21.92,221,"1,008",56,36.31,472,13,34.29,583,17,69.81,"2,513",36,56,35.23,"1,973",56,56,7,180,2,70.00,"1,120",16,56,4.64,455,98,56,18.91,114,603,35.85,466,13,56,4.62,832,180,58,3.08,717,233,56,214,58,42.47,79,186,34.64,381,11,56,12.89,29,225,56,+.66,70.13,70.79,56,144.0,"1,008",7,58,70.12,"4,067",58,56,4.60,377,82,56,+16,3.07,6.75
Rob Oppenheim,15,2.55,125,49,15,100.00,49,4.03,"1,063",264,49,4.08,"1,058",259,49,3.33,163,49,49,71.287,"3,473",20.047,49,34.67,520,15,49,3.07,304,99,49,1.21,171,141,35.00,525,15,49,15.99,141,882,49,3.03,297,98,49,-59,4.64,8.10,49,-.313,-10.331,7.125,-17.455,33,49,8,72.60,726,10,71.33,"1,070",15,49,+29,4.06,20.92,70.22,632,9,35.44,319,9,70.22,632,9,49,4.06,"2,121",523,49,19.39,171,882,35.87,538,15,49,14.06,49,19.39,171,882,176,36.00,360,10,35.47,532,15,70.47,"2,255",32,49,35.67,"1,748",49,49,8,162,4,69.67,"1,045",15,49,4.68,393,84,49,14.91,78,523,36.60,366,10,49,4.64,751,162,49,3.05,601,197,49,163,49,43.83,71,162,34.78,313,9,49,11.17,22,197,49,E,70.88,70.88,49,110.3,882,8,49,70.88,"3,473",49,49,4.59,358,78,49,+10,3.05,5.91
Ryan Brehm,13,2.55,107,42,13,50.00,42,4.10,907,221,42,4.08,905,222,42,3.71,156,42,42,71.972,"2,986",36.829,42,36.15,470,13,42,3.00,255,85,42,1.28,161,126,35.23,458,13,42,16.67,126,756,42,3.05,256,84,42,-57,4.60,7.20,42,-1.051,-25.216,-10.486,-14.728,24,42,5,69.88,559,8,70.23,913,13,42,+40,4.09,17.72,73.25,586,8,37.25,298,8,73.25,586,8,42,4.09,"1,812",443,42,21.30,161,756,35.15,457,13,42,19.17,42,21.30,161,756,54,35.50,284,8,35.08,456,13,70.71,"1,980",28,42,35.43,"1,488",42,42,4,144,1,71.38,928,13,42,4.54,327,72,42,14.45,64,443,34.38,275,8,42,4.60,663,144,42,3.02,511,169,42,156,42,50.69,73,144,36.00,288,8,42,14.20,24,169,42,-.57,71.10,70.53,42,151.2,756,5,42,71.10,"2,986",42,42,4.67,336,72,42,+4,3.02,5.07
Cameron Champ,12,2.55,107,42,12,66.67,42,3.96,864,218,42,4.00,885,221,42,4.26,179,42,42,70.753,"2,946",25.613,42,34.75,417,12,42,3.07,261,85,42,1.59,185,116,35.33,424,12,42,15.34,116,756,42,3.09,247,80,42,-71,4.53,7.60,42,.938,30.949,31.597,-.646,33,42,6,68.67,618,9,71.08,853,12,42,-7,3.98,17.56,70.44,634,9,35.44,319,9,70.44,634,9,42,3.98,"1,749",439,42,24.47,185,756,36.42,437,12,42,26.55,42,24.47,185,756,42,34.44,310,9,34.67,416,12,70.50,"1,833",26,42,35.43,"1,488",42,42,5,152,0,70.08,841,12,42,4.62,356,77,42,19.36,85,439,34.22,308,9,42,4.53,689,152,42,3.08,508,165,42,179,42,52.63,80,152,35.00,315,9,42,12.12,20,165,42,+.94,70.14,71.08,42,126.0,756,6,42,70.14,"2,946",42,42,4.44,333,75,42,+13,3.08,4.95
Charley Hoffman,13,2.56,105,41,13,42.86,41,4.07,892,219,41,3.99,837,210,43,4.21,181,43,43,71.374,"3,042",27.078,43,35.31,459,13,43,3.09,269,87,41,1.37,177,129,35.71,500,14,43,17.31,134,774,41,3.13,257,82,41,-60,4.58,7.20,43,.120,3.836,6.700,-2.861,32,41,6,70.75,566,8,70.31,914,13,41,+13,4.03,17.16,71.57,501,7,36.00,252,7,71.57,501,7,43,4.03,"1,819",451,41,23.98,177,738,35.00,455,13,41,21.43,41,23.98,177,738,103,35.88,287,8,35.21,493,14,70.63,"2,119",30,41,35.34,"1,449",41,41,5,144,0,70.92,922,13,41,4.61,355,77,41,19.81,85,429,34.88,279,8,41,4.58,660,144,43,3.10,537,173,41,171,43,48.00,72,150,35.57,249,7,41,14.55,24,165,41,+.10,70.80,70.90,41,123.0,738,6,43,70.74,"3,042",43,41,4.55,305,67,41,+19,3.12,4.95
Alex Noren,9,2.56,82,32,9,57.14,32,4.01,701,175,32,4.01,697,174,36,4.00,144,36,36,70.208,"2,504",23.490,36,34.11,307,9,36,3.05,223,73,32,1.45,128,88,35.00,350,10,36,14.97,97,648,32,3.03,194,64,32,-48,4.51,4.90,36,.518,12.947,8.769,4.178,25,32,6,69.57,487,7,69.56,626,9,32,+2,4.01,13.96,71.14,498,7,34.86,244,7,71.14,498,7,36,4.00,"1,573",393,32,22.22,128,576,33.89,305,9,32,21.43,32,22.22,128,576,194,34.71,243,7,35.30,353,10,69.36,"1,526",22,32,34.66,"1,109",32,32,6,98,1,69.22,623,9,32,4.36,218,50,32,16.33,57,349,34.86,244,7,32,4.51,442,98,36,3.03,439,145,32,122,36,53.64,59,110,36.29,254,7,32,16.28,21,129,32,+.74,69.81,70.55,32,96.0,576,6,36,69.56,"2,504",36,32,4.67,224,48,32,+7,3.05,3.87
Dustin Johnson,5,2.56,46,18,5,25.00,18,3.93,393,100,18,4.05,385,95,22,3.68,81,22,22,70.519,"1,539",12.419,22,36.00,180,5,22,3.18,143,45,18,1.31,68,52,35.83,215,6,22,14.39,57,396,18,2.97,95,32,18,-21,4.65,3.00,22,.632,12.632,13.644,-1.011,20,18,7,69.25,277,4,68.80,344,5,18,-2,3.99,7.80,72.25,289,4,37.50,150,4,72.25,289,4,22,3.97,948,239,18,20.99,68,324,35.60,178,5,18,26.09,18,20.99,68,324,166,34.75,139,4,33.17,199,6,70.00,910,13,18,35.89,646,18,18,7,60,1,72.00,360,5,18,4.74,166,35,18,18.46,36,195,34.50,138,4,18,4.65,279,60,22,3.11,264,85,18,61,22,47.22,34,72,34.75,139,4,18,13.04,9,69,18,+.71,70.56,71.27,18,46.3,324,7,22,69.95,"1,539",22,18,4.52,113,25,18,+6,3.09,2.07
Cameron Smith,11,2.56,92,36,11,71.43,36,3.97,818,206,36,3.99,743,186,38,4.18,159,38,38,70.687,"2,659",27.096,38,35.82,394,11,38,3.12,237,76,36,1.52,158,104,35.25,423,12,38,16.08,110,684,36,3.00,216,72,36,-43,4.62,5.60,38,.384,11.122,-6.276,17.399,29,36,6,70.29,492,7,69.18,761,11,36,-7,3.98,15.68,69.14,484,7,34.57,242,7,69.14,484,7,38,3.99,"1,650",414,36,24.38,158,648,35.45,390,11,36,18.37,36,24.38,158,648,120,35.14,246,7,34.00,408,12,70.13,"1,683",24,36,35.14,"1,265",36,36,5,112,0,71.00,781,11,36,4.64,306,66,36,21.17,83,392,35.14,246,7,36,4.62,517,112,38,3.06,465,152,36,152,38,51.69,61,118,34.57,242,7,36,11.81,17,144,36,+.50,69.94,70.44,36,108.0,648,6,38,69.97,"2,659",38,36,4.59,211,46,36,+8,3.06,4.32
Max Homa,12,2.57,113,44,12,50.00,44,4.05,939,232,44,3.99,898,225,48,3.88,186,48,48,71.038,"3,383",26.817,48,35.17,422,12,48,3.00,303,101,44,1.37,171,125,36.15,470,13,48,15.39,133,864,44,3.07,258,84,44,-55,4.65,7.90,48,.516,18.053,9.057,8.999,35,44,5,68.60,686,10,70.33,844,12,44,+9,4.02,18.28,72.20,722,10,36.80,368,10,72.20,722,10,48,4.02,"2,013",501,44,21.59,171,792,34.92,419,12,44,22.12,44,21.59,171,792,138,33.80,338,10,35.38,460,13,70.43,"1,972",28,44,35.70,"1,571",44,44,5,158,1,71.50,858,12,44,4.77,415,87,44,15.32,70,457,34.80,348,10,44,4.65,735,158,48,3.01,581,193,44,166,48,48.82,83,170,35.40,354,10,44,14.69,26,177,44,+.47,70.68,71.15,44,158.4,792,5,48,70.48,"3,383",48,44,4.51,320,71,44,+7,3.04,5.31
Anirban Lahiri,12,2.58,85,33,12,25.00,33,3.99,702,176,33,4.04,691,171,33,4.27,141,33,33,71.638,"2,335",29.055,33,35.33,424,12,33,3.15,211,67,33,1.39,143,103,35.33,424,12,33,17.34,103,594,33,3.14,207,66,33,-46,4.60,5.70,33,-.645,-13.542,-12.255,-1.286,21,33,2,69.20,346,5,71.08,853,12,33,+5,4.01,13.88,72.00,288,4,36.50,146,4,72.00,288,4,33,4.01,"1,393",347,33,24.07,143,594,35.75,429,12,33,20.43,33,24.07,143,594,99,33.40,167,5,35.33,424,12,70.65,"1,837",26,33,35.70,"1,178",33,33,1,114,1,70.67,848,12,33,4.67,280,60,33,18.16,63,347,35.80,179,5,33,4.60,524,114,33,3.14,418,133,33,141,33,50.88,58,114,35.50,142,4,33,16.54,22,133,33,-.22,70.76,70.54,33,297.0,594,2,33,70.76,"2,335",33,33,4.52,244,54,33,+19,3.14,3.99
Troy Merritt,12,2.58,98,38,12,28.57,38,3.98,816,205,38,4.03,790,196,42,3.81,160,42,42,71.429,"2,974",26.008,42,34.83,418,12,42,3.08,274,89,38,1.27,149,117,36.38,473,13,42,16.80,127,756,38,3.12,237,76,38,-30,4.76,6.30,42,-.548,-15.881,-28.416,12.538,29,38,1,70.00,490,7,70.42,845,12,38,+2,4.00,16.04,72.00,504,7,36.00,252,7,72.00,504,7,42,4.01,"1,786",445,38,21.78,149,684,35.42,425,12,38,20.72,38,21.78,149,684,162,34.43,241,7,34.92,454,13,70.64,"1,978",28,38,35.84,"1,362",38,38,1,126,0,71.17,854,12,38,4.79,335,70,38,19.95,80,401,35.57,249,7,38,4.76,600,126,42,3.09,535,173,38,148,42,41.30,57,138,36.00,252,7,38,12.10,19,157,38,-.15,70.87,70.72,38,684.0,684,1,42,70.81,"2,974",42,38,4.73,265,56,38,+16,3.10,4.71
Rory Sabbatini,13,2.59,119,46,13,40.00,46,4.05,"1,025",253,46,4.04,"1,006",249,50,3.70,185,50,50,70.464,"3,502",21.209,50,35.08,456,13,50,2.99,311,104,46,1.29,172,133,35.00,490,14,50,15.22,137,900,46,3.12,287,92,46,-64,4.54,6.90,50,.405,13.786,13.319,.469,34,46,5,69.80,698,10,70.08,911,13,46,+23,4.05,20.08,71.20,712,10,36.10,361,10,71.20,712,10,50,4.03,"2,199",546,46,20.77,172,828,34.92,454,13,46,25.20,46,20.77,172,828,87,34.80,348,10,35.07,491,14,69.86,"2,026",29,46,35.22,"1,620",46,46,4,138,0,70.08,911,13,46,4.48,327,73,46,14.94,75,502,35.00,350,10,46,4.54,626,138,50,3.05,622,204,46,167,50,49.33,74,150,35.10,351,10,46,14.89,28,188,46,+.37,70.26,70.63,46,165.6,828,5,50,70.04,"3,502",50,46,4.60,299,65,46,+11,3.06,5.64
Luke List,13,2.59,106,41,13,42.86,41,3.99,893,224,41,4.08,873,214,43,3.67,158,43,43,71.274,"3,036",28.789,43,35.00,455,13,43,3.09,266,86,41,1.33,162,122,35.93,503,14,43,16.41,127,774,41,3.07,252,82,41,-59,4.57,6.80,43,.282,9.319,19.917,-10.597,33,41,10,68.38,547,8,71.46,929,13,41,+14,4.03,17.52,70.57,494,7,35.00,245,7,70.57,494,7,43,4.03,"1,855",460,41,21.95,162,738,36.23,471,13,41,26.09,41,21.95,162,738,67,34.50,276,8,35.29,494,14,71.14,"2,063",29,41,35.51,"1,456",41,41,8,136,1,71.08,924,13,41,4.53,331,73,41,16.67,73,438,33.88,271,8,41,4.57,621,136,43,3.10,533,172,41,152,43,52.82,75,142,35.57,249,7,41,10.37,17,164,41,+.10,70.59,70.69,41,73.8,738,10,43,70.60,"3,036",43,41,4.60,290,63,41,+15,3.09,4.92
Kristoffer Ventura,12,2.59,88,34,12,50.00,34,4.00,724,181,34,3.99,710,178,34,4.12,140,34,34,71.966,"2,411",35.828,34,36.00,432,12,34,3.16,218,69,34,1.35,142,105,36.08,433,12,34,17.16,105,612,34,3.15,214,68,34,-35,4.70,5.80,34,-.617,-11.107,-28.371,17.266,18,34,2,68.50,411,6,71.42,857,12,34,-2,3.99,14.36,69.50,278,4,35.50,142,4,69.50,278,4,34,3.99,"1,434",359,34,23.20,142,612,35.00,420,12,34,25.00,34,23.20,142,612,164,33.67,202,6,36.42,437,12,71.42,"1,857",26,34,35.41,"1,204",34,34,2,116,0,72.08,865,12,34,4.67,280,60,34,21.73,78,359,34.83,209,6,34,4.70,545,116,34,3.15,432,137,34,140,34,40.52,47,116,34.00,136,4,34,12.41,17,137,34,-.58,70.91,70.33,34,306.0,612,2,34,70.91,"2,411",34,34,4.73,265,56,34,+21,3.15,4.11
Rhein Gibson,12,2.60,109,42,12,12.50,42,4.03,907,225,42,4.09,908,222,42,3.86,162,42,42,71.825,"2,982",34.658,42,34.58,415,12,42,2.94,250,85,42,1.29,165,128,35.75,429,12,42,16.93,128,756,42,3.07,258,84,42,-41,4.71,7.00,42,-.457,-11.894,-28.879,16.986,26,42,3,72.00,720,10,69.83,838,12,42,+27,4.06,17.88,72.50,580,8,37.00,296,8,72.50,580,8,42,4.06,"1,815",447,42,21.83,165,756,35.50,426,12,42,17.21,42,21.83,165,756,166,36.40,364,10,34.33,412,12,70.46,"1,832",26,42,35.88,"1,507",42,42,3,140,1,70.33,844,12,42,4.74,341,72,42,18.34,82,447,35.60,356,10,42,4.71,659,140,42,3.01,508,169,42,162,42,41.43,58,140,35.50,284,8,42,14.79,25,169,42,-.52,71.00,70.48,42,252.0,756,3,42,71.00,"2,982",42,42,4.68,318,68,42,+1,3.01,5.07
